"","comorbid_condition","concept_id","concept_code","concept_name","vocabulary"
"1","Moderate or severe liver disease",22340,"14223005","Esophageal varices without bleeding","SNOMED CT"
"2","Peptic ulcer disease",22665,"55746001","Chronic peptic ulcer with hemorrhage AND with perforation but without obstruction","SNOMED CT"
"3","Malignancy, except skin neoplasms",22839,"109369002","Overlapping malignant neoplasm of larynx","SNOMED CT"
"4","Peptic ulcer disease",23237,"43406003","Acute peptic ulcer with hemorrhage AND obstruction","SNOMED CT"
"5","Peptic ulcer disease",23247,"80953005","Chronic peptic ulcer with perforation but without obstruction","SNOMED CT"
"6","Peptic ulcer disease",23808,"60400003","Chronic peptic ulcer without hemorrhage, without perforation AND without obstruction","SNOMED CT"
"7","Peptic ulcer disease",24076,"56461008","Chronic peptic ulcer with hemorrhage AND obstruction","SNOMED CT"
"8","Malignancy, except skin neoplasms",24296,"93964007","Primary malignant neoplasm of pituitary gland","SNOMED CT"
"9","Peptic ulcer disease",24397,"77661009","Chronic peptic ulcer with hemorrhage, with perforation AND with obstruction","SNOMED CT"
"10","Moderate or severe liver disease",24966,"28670008","Esophageal varices","SNOMED CT"
"11","Peptic ulcer disease",24973,"12384004","Chronic peptic ulcer without hemorrhage AND without perforation but with obstruction","SNOMED CT"
"12","Malignancy, except skin neoplasms",25189,"363505006","Malignant tumor of oral cavity","SNOMED CT"
"13","Malignancy, except skin neoplasms",25486,"93843007","Primary malignant neoplasm of islets of Langerhans","SNOMED CT"
"14","Malignancy, except skin neoplasms",25748,"109835005","Overlapping malignant neoplasm of esophagus","SNOMED CT"
"15","Malignancy, except skin neoplasms",26052,"371995001","Primary malignant neoplasm of larynx","SNOMED CT"
"16","Malignancy, except skin neoplasms",26361,"93962006","Primary malignant neoplasm of pineal gland","SNOMED CT"
"17","Malignancy, except skin neoplasms",26638,"371984007","Primary malignant neoplasm of esophagus","SNOMED CT"
"18","Peptic ulcer disease",26718,"35681000","Acute peptic ulcer with perforation AND obstruction","SNOMED CT"
"19","Peptic ulcer disease",27026,"47064007","Acute peptic ulcer with hemorrhage AND with perforation but without obstruction","SNOMED CT"
"20","Malignancy, except skin neoplasms",27235,"93740003","Primary malignant neoplasm of carotid body","SNOMED CT"
