"","descendant_concept_id","concept_name","domain_id","vocabulary_id","concept_class_id","standard_concept","concept_code","source"
"1",312327,"Acute myocardial infarction","Condition","SNOMED","Disorder","S","57054005","codelist"
"2",319039,"Acute posterior myocardial infarction","Condition","SNOMED","Disorder","S","233838001","codelist"
"3",434376,"Acute myocardial infarction of anterior wall","Condition","SNOMED","Disorder","S","54329005","codelist"
"4",436706,"Acute myocardial infarction of lateral wall","Condition","SNOMED","Disorder","S","58612006","codelist"
"5",438170,"Acute myocardial infarction of inferior wall","Condition","SNOMED","Disorder","S","73795002","codelist"
"6",438438,"Acute myocardial infarction of anterolateral wall","Condition","SNOMED","Disorder","S","70211005","codelist"
"7",438447,"Acute myocardial infarction of inferolateral wall","Condition","SNOMED","Disorder","S","65547006","codelist"
"8",441579,"Acute myocardial infarction of inferoposterior wall","Condition","SNOMED","Disorder","S","76593002","codelist"
"9",444406,"Acute subendocardial infarction","Condition","SNOMED","Disorder","S","70422006","codelist"
"10",4051874,"Acute myocardial infarction of posterolateral wall","Condition","SNOMED","Disorder","S","15990001","codelist"
"11",4108669,"Acute myocardial infarction of atrium","Condition","SNOMED","Disorder","S","194809007","codelist"
"12",4119456,"Acute non-Q wave infarction - anteroseptal","Condition","SNOMED","Disorder","S","233826005","codelist"
"13",4119457,"Acute Q wave infarction - anterolateral","Condition","SNOMED","Disorder","S","233827001","codelist"
"14",4119943,"Acute Q wave infarction - anteroseptal","Condition","SNOMED","Disorder","S","233825009","codelist"
"15",4119944,"Acute non-Q wave infarction - anterolateral","Condition","SNOMED","Disorder","S","233828006","codelist"
"16",4119945,"Acute non-Q wave infarction - inferior","Condition","SNOMED","Disorder","S","233830008","codelist"
"17",4119946,"Acute non-Q wave infarction - inferolateral","Condition","SNOMED","Disorder","S","233832000","codelist"
"18",4119947,"Acute widespread myocardial infarction","Condition","SNOMED","Disorder","S","233835003","codelist"
"19",4121464,"Acute Q wave infarction - inferior","Condition","SNOMED","Disorder","S","233829003","codelist"
"20",4121465,"Acute Q wave infarction - inferolateral","Condition","SNOMED","Disorder","S","233831007","codelist"
"21",4121466,"Acute non-Q wave infarction - lateral","Condition","SNOMED","Disorder","S","233834004","codelist"
"22",4124684,"Acute Q wave infarction - lateral","Condition","SNOMED","Disorder","S","233833005","codelist"
"23",4126801,"Acute Q wave myocardial infarction","Condition","SNOMED","Disorder","S","304914007","codelist"
"24",4145721,"Acute non-Q wave infarction","Condition","SNOMED","Disorder","S","307140009","codelist"
"25",4178129,"Acute anteroapical myocardial infarction","Condition","SNOMED","Disorder","S","52035003","codelist"
"26",4267568,"Acute anteroseptal myocardial infarction","Condition","SNOMED","Disorder","S","62695002","codelist"
"27",4270024,"Acute non-ST segment elevation myocardial infarction","Condition","SNOMED","Disorder","S","401314000","codelist"
"28",4296653,"Acute ST segment elevation myocardial infarction","Condition","SNOMED","Disorder","S","401303003","codelist"
"29",4303359,"Acute myocardial infarction of septum","Condition","SNOMED","Disorder","S","79009004","codelist"
"30",35610093,"Acute transmural myocardial infarction","Condition","SNOMED","Disorder","S","1089471000000109","codelist"
"31",35611571,"Acute ST segment elevation myocardial infarction of inferoposterior wall","Condition","SNOMED","Disorder","S","12238151000119107","codelist"
"32",45766075,"Acute anterior ST segment elevation myocardial infarction","Condition","SNOMED","Disorder","S","703164000","codelist"
"33",45766116,"Acute ST segment elevation myocardial infarction of inferior wall","Condition","SNOMED","Disorder","S","703213009","codelist"
"34",46270159,"Acute ST segment elevation myocardial infarction of anterolateral wall","Condition","SNOMED","Disorder","S","15712881000119105","codelist"
"35",46274044,"Acute ST segment elevation myocardial infarction of lateral wall","Condition","SNOMED","Disorder","S","15712921000119103","codelist"
"36",604425,"Acute myocardial infarction due to occlusion of circumflex branch of left coronary artery","Condition","SNOMED","Disorder","S","896689003","additional"
"37",604427,"Acute ST segment elevation myocardial infarction due to occlusion of circumflex branch of left coronary artery","Condition","SNOMED","Disorder","S","896691006","additional"
"38",604429,"Acute ST segment elevation myocardial infarction of apex of heart","Condition","SNOMED","Disorder","S","896696001","additional"
"39",604430,"Acute ST segment elevation myocardial infarction of right ventricle","Condition","SNOMED","Disorder","S","896697005","additional"
"40",761736,"Acute ST segment elevation myocardial infarction of anteroapical wall","Condition","SNOMED","Disorder","S","15962541000119106","additional"
"41",3654465,"Acute myocardial infarction of right ventricle","Condition","SNOMED","Disorder","S","836293000","additional"
"42",3654466,"Acute myocardial infarction of apex of heart","Condition","SNOMED","Disorder","S","836294006","additional"
"43",3654467,"Acute myocardial infarction of inferolateral wall with posterior extension","Condition","SNOMED","Disorder","S","836295007","additional"
"44",3655133,"Acute ST segment elevation myocardial infarction due to occlusion of intermediate artery","Condition","SNOMED","Disorder","S","846683001","additional"
"45",3661502,"Acute ST segment elevation myocardial infarction due to proximal left anterior descending coronary artery occlusion","Condition","SNOMED","Disorder","S","840309000","additional"
"46",3661503,"Acute ST segment elevation myocardial infarction due to mid left anterior descending coronary artery occlusion","Condition","SNOMED","Disorder","S","840312002","additional"
