"","descendant_concept_id","concept_name","domain_id","vocabulary_id","concept_class_id","standard_concept","concept_code","source"
"1",317576,"Coronary arteriosclerosis","Condition","SNOMED","Disorder","S","53741008","codelist"
"2",443563,"Arteriosclerosis of coronary artery bypass graft","Condition","SNOMED","Disorder","S","429673002","codelist"
"3",609191,"Coronary artery disease due to type 1 diabetes mellitus","Condition","SNOMED","Disorder","S","16891191000119108","codelist"
"4",1244910,"Premature coronary artery disease","Condition","SNOMED","Disorder","S","1293192009","codelist"
"5",4108673,"Double coronary vessel disease","Condition","SNOMED","Disorder","S","194843003","codelist"
"6",4111393,"Single coronary vessel disease","Condition","SNOMED","Disorder","S","194842008","codelist"
"7",4119951,"Accelerated coronary artery disease in transplanted heart","Condition","SNOMED","Disorder","S","233844002","codelist"
"8",4124682,"Triple vessel disease of the heart","Condition","SNOMED","Disorder","S","233817007","codelist"
"9",4155007,"Multi vessel coronary artery disease","Condition","SNOMED","Disorder","S","371803003","codelist"
"10",4155962,"Left main coronary artery disease","Condition","SNOMED","Disorder","S","371804009","codelist"
"11",4161455,"Significant coronary bypass graft disease","Condition","SNOMED","Disorder","S","371805005","codelist"
"12",4168972,"Obliterative coronary artery disease","Condition","SNOMED","Disorder","S","420006002","codelist"
"13",4175846,"Coronary arteriosclerosis caused by radiation","Condition","SNOMED","Disorder","S","427919004","codelist"
"14",4178321,"Congenital coronary artery sclerosis","Condition","SNOMED","Disorder","S","42866003","codelist"
"15",4178622,"Recurrent coronary arteriosclerosis after percutaneous transluminal coronary angioplasty","Condition","SNOMED","Disorder","S","429245005","codelist"
"16",4199962,"Asymptomatic coronary heart disease","Condition","SNOMED","Disorder","S","315348000","codelist"
"17",4242670,"Calcific coronary arteriosclerosis","Condition","SNOMED","Disorder","S","92517006","codelist"
"18",35615052,"Arteriosclerosis of autologous vein coronary artery bypass graft with angina","Condition","SNOMED","Disorder","S","15960581000119102","codelist"
"19",36712982,"Unstable angina co-occurrent and due to coronary arteriosclerosis","Condition","SNOMED","Disorder","S","15960061000119102","codelist"
"20",36712983,"Angina co-occurrent and due to coronary arteriosclerosis","Condition","SNOMED","Disorder","S","15960141000119102","codelist"
"21",36714444,"Non-obstructive atherosclerosis of coronary artery","Condition","SNOMED","Disorder","S","719678003","codelist"
"22",37016181,"Coronary arteriosclerosis following coronary artery bypass graft","Condition","SNOMED","Disorder","S","139011000119104","codelist"
"23",37110242,"Atherosclerosis of autologous coronary artery bypass graft","Condition","SNOMED","Disorder","S","724431008","codelist"
"24",37118984,"Atherosclerosis of non-autologous coronary artery bypass graft","Condition","SNOMED","Disorder","S","723862008","codelist"
"25",37167978,"Arteriosclerosis of nonautologous biological coronary artery bypass graft","Condition","SNOMED","Disorder","S","1269257006","codelist"
"26",37312532,"Coronary arteriosclerosis in artery of transplanted heart","Condition","SNOMED","Disorder","S","792842004","codelist"
"27",40481132,"Arteriosclerosis of coronary artery bypass graft of transplanted heart","Condition","SNOMED","Disorder","S","444855007","codelist"
