"","descendant_concept_id","concept_name","domain_id","vocabulary_id","concept_class_id","standard_concept","concept_code","source"
"1",193782,"End-stage renal disease","Condition","SNOMED","Disorder","S","46177005","codelist"
"2",197921,"Renal osteodystrophy","Condition","SNOMED","Disorder","S","16726004","codelist"
"3",198185,"Chronic renal failure","Condition","SNOMED","Disorder","S","90688005","codelist"
"4",443597,"Chronic kidney disease stage 3","Condition","SNOMED","Disorder","S","433144002","codelist"
"5",443601,"Chronic kidney disease stage 2","Condition","SNOMED","Disorder","S","431856006","codelist"
"6",443611,"Chronic kidney disease stage 5","Condition","SNOMED","Disorder","S","433146000","codelist"
"7",443612,"Chronic kidney disease stage 4","Condition","SNOMED","Disorder","S","431857002","codelist"
"8",443614,"Chronic kidney disease stage 1","Condition","SNOMED","Disorder","S","431855005","codelist"
"9",37017813,"Chronic kidney disease stage 5 on dialysis","Condition","SNOMED","Disorder","S","714152005","codelist"
"10",43020455,"Malignant hypertensive end stage renal disease","Condition","SNOMED","Disorder","S","285841000119104","codelist"
"11",43531653,"Chronic kidney disease stage 3 due to type 2 diabetes mellitus","Condition","SNOMED","Disorder","S","731000119105","codelist"
"12",44782689,"Chronic kidney disease stage 4 due to hypertension","Condition","SNOMED","Disorder","S","129151000119102","codelist"
"13",44782690,"Chronic kidney disease stage 5 due to hypertension","Condition","SNOMED","Disorder","S","129161000119100","codelist"
"14",44782691,"Chronic kidney disease stage 3 due to hypertension","Condition","SNOMED","Disorder","S","129171000119106","codelist"
"15",44784621,"Hypertensive heart and chronic kidney disease","Condition","SNOMED","Disorder","S","8501000119104","codelist"
"16",44792226,"Chronic kidney disease stage 1 with proteinuria","Condition","SNOMED","Disorder","S","324121000000109","codelist"
"17",44792227,"Chronic kidney disease stage 1 without proteinuria","Condition","SNOMED","Disorder","S","324151000000104","codelist"
"18",44792228,"Chronic kidney disease stage 2 with proteinuria","Condition","SNOMED","Disorder","S","324181000000105","codelist"
"19",44792229,"Chronic kidney disease stage 2 without proteinuria","Condition","SNOMED","Disorder","S","324211000000106","codelist"
"20",44792230,"Chronic kidney disease stage 3 with proteinuria","Condition","SNOMED","Disorder","S","324251000000105","codelist"
"21",44792231,"Chronic kidney disease stage 3 without proteinuria","Condition","SNOMED","Disorder","S","324281000000104","codelist"
"22",44792232,"Chronic kidney disease stage 3A with proteinuria","Condition","SNOMED","Disorder","S","324311000000101","codelist"
"23",44792249,"Chronic kidney disease stage 3A without proteinuria","Condition","SNOMED","Disorder","S","324341000000100","codelist"
"24",44792250,"Chronic kidney disease stage 3B with proteinuria","Condition","SNOMED","Disorder","S","324371000000106","codelist"
"25",44792251,"Chronic kidney disease stage 3B without proteinuria","Condition","SNOMED","Disorder","S","324411000000105","codelist"
"26",44792252,"Chronic kidney disease stage 4 with proteinuria","Condition","SNOMED","Disorder","S","324441000000106","codelist"
"27",44792253,"Chronic kidney disease stage 4 without proteinuria","Condition","SNOMED","Disorder","S","324471000000100","codelist"
"28",44792254,"Chronic kidney disease stage 5 with proteinuria","Condition","SNOMED","Disorder","S","324501000000107","codelist"
"29",44792255,"Chronic kidney disease stage 5 without proteinuria","Condition","SNOMED","Disorder","S","324541000000105","codelist"
"30",45763854,"Chronic kidney disease stage 3A","Condition","SNOMED","Disorder","S","700378005","codelist"
"31",45763855,"Chronic kidney disease stage 3B","Condition","SNOMED","Disorder","S","700379002","codelist"
"32",46271022,"Chronic kidney disease","Condition","SNOMED","Disorder","S","709044004","codelist"
"33",46284566,"CKD G1A1 - chronic kidney disease with glomerular filtration rate category G1 and albuminuria category A1","Condition","SNOMED","Disorder","S","949401000000103","codelist"
"34",46284567,"CKD G1A2 - chronic kidney disease with glomerular filtration rate category G1 and albuminuria category A2","Condition","SNOMED","Disorder","S","949421000000107","codelist"
"35",46284570,"CKD G1A3 - chronic kidney disease with glomerular filtration rate category G1 and albuminuria category A3","Condition","SNOMED","Disorder","S","949481000000108","codelist"
"36",46284572,"CKD G2A1 - chronic kidney disease with glomerular filtration rate category G2 and albuminuria category A1","Condition","SNOMED","Disorder","S","949521000000108","codelist"
"37",46284575,"CKD G2A3 - chronic kidney disease with glomerular filtration rate category G2 and albuminuria category A3","Condition","SNOMED","Disorder","S","949621000000109","codelist"
"38",46284587,"CKD G3aA1 - chronic kidney disease with glomerular filtration rate category G3a and albuminuria category A1","Condition","SNOMED","Disorder","S","949881000000106","codelist"
"39",46284588,"CKD G3aA3 - chronic kidney disease with glomerular filtration rate category G3a and albuminuria category A3","Condition","SNOMED","Disorder","S","949921000000100","codelist"
"40",46284591,"CKD G3bA1 - chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A1","Condition","SNOMED","Disorder","S","950061000000103","codelist"
"41",46284592,"CKD G3bA2 - chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A2","Condition","SNOMED","Disorder","S","950081000000107","codelist"
"42",46284593,"CKD G3bA3 - chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A3","Condition","SNOMED","Disorder","S","950101000000101","codelist"
"43",46284597,"CKD G4A1 - chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A1","Condition","SNOMED","Disorder","S","950181000000106","codelist"
