"","descendant_concept_id","concept_name","domain_id","vocabulary_id","concept_class_id","standard_concept","concept_code","source"
"1",255573,"Chronic obstructive pulmonary disease","Condition","SNOMED","Disorder","S","13645005","codelist"
"2",257004,"Acute exacerbation of chronic obstructive pulmonary disease","Condition","SNOMED","Disorder","S","195951007","codelist"
"3",261325,"Pulmonary emphysema","Condition","SNOMED","Disorder","S","87433001","codelist"
"4",440748,"Interstitial emphysema of lung","Condition","SNOMED","Disorder","S","77690003","codelist"
"5",605066,"Emphysema of left lung","Condition","SNOMED","Disorder","S","1010333003","codelist"
"6",605067,"Emphysema of right lung","Condition","SNOMED","Disorder","S","1010334009","codelist"
"7",3654571,"Chronic emphysema caused by vapor","Condition","SNOMED","Disorder","S","836477007","codelist"
"8",4046986,"End stage chronic obstructive pulmonary disease","Condition","SNOMED","Disorder","S","135836000","codelist"
"9",4050732,"Pulmonary emphysema in alpha-1 PI deficiency","Condition","SNOMED","Disorder","S","233674008","codelist"
"10",4050733,"Toxic emphysema","Condition","SNOMED","Disorder","S","233675009","codelist"
"11",4050734,"Scar emphysema","Condition","SNOMED","Disorder","S","233677001","codelist"
"12",4050961,"Giant bullous emphysema","Condition","SNOMED","Disorder","S","16003001","codelist"
"13",4056405,"Obstructive emphysema","Condition","SNOMED","Disorder","S","16846004","codelist"
"14",4083395,"Vanishing lung","Condition","SNOMED","Disorder","S","23958009","codelist"
"15",4110048,"Chronic bullous emphysema","Condition","SNOMED","Disorder","S","195957006","codelist"
"16",4110056,"Chronic obstructive pulmonary disease with acute lower respiratory infection","Condition","SNOMED","Disorder","S","196001008","codelist"
"17",4110635,"Segmental bullous emphysema","Condition","SNOMED","Disorder","S","195958001","codelist"
"18",4112828,"Zonal bullous emphysema","Condition","SNOMED","Disorder","S","195959009","codelist"
"19",4112836,"Chronic emphysema caused by chemical fumes","Condition","SNOMED","Disorder","S","196026004","codelist"
"20",4115044,"Acute infective exacerbation of chronic obstructive pulmonary disease","Condition","SNOMED","Disorder","S","285381006","codelist"
"21",4136683,"Paraseptal emphysema","Condition","SNOMED","Disorder","S","31898008","codelist"
"22",4145496,"Bullous emphysema with collapse","Condition","SNOMED","Disorder","S","266355005","codelist"
"23",4148124,"Atrophic (senile) emphysema","Condition","SNOMED","Disorder","S","266356006","codelist"
"24",4166508,"Congenital emphysema","Condition","SNOMED","Disorder","S","47895001","codelist"
"25",4177944,"Panacinar emphysema","Condition","SNOMED","Disorder","S","4981000","codelist"
"26",4193588,"Moderate chronic obstructive pulmonary disease","Condition","SNOMED","Disorder","S","313297008","codelist"
"27",4196712,"Mild chronic obstructive pulmonary disease","Condition","SNOMED","Disorder","S","313296004","codelist"
"28",4209097,"Severe chronic obstructive pulmonary disease","Condition","SNOMED","Disorder","S","313299006","codelist"
"29",4246105,"Hemolytic anemia with emphysema AND cutis laxa","Condition","SNOMED","Disorder","S","60805002","codelist"
"30",4281815,"Congenital lobar emphysema","Condition","SNOMED","Disorder","S","66987001","codelist"
"31",4286497,"Centriacinar emphysema","Condition","SNOMED","Disorder","S","68328006","codelist"
"32",4321845,"Bronchial atresia with segmental pulmonary emphysema","Condition","SNOMED","Disorder","S","70756004","codelist"
"33",43530693,"Acute exacerbation of chronic obstructive pulmonary disease with asthma","Condition","SNOMED","Disorder","S","1751000119100","codelist"
"34",44791725,"Very severe chronic obstructive pulmonary disease","Condition","SNOMED","Disorder","S","293991000000106","codelist"
"35",44807895,"Acute non-infective exacerbation of chronic obstructive pulmonary disease","Condition","SNOMED","Disorder","S","847091000000104","codelist"
"36",45769389,"Pulmonary emphysema co-occurrent with fibrosis of lung","Condition","SNOMED","Disorder","S","708030004","codelist"
"37",46269701,"Chronic obstructive pulmonary disease with acute bronchitis","Condition","SNOMED","Disorder","S","106001000119101","codelist"
"38",46274062,"Asthma-chronic obstructive pulmonary disease overlap syndrome","Condition","SNOMED","Disorder","S","10692761000119107","codelist"
"39",255841,"Chronic bronchitis","Condition","SNOMED","Disorder","S","63480004","codelist"
"40",256448,"Chronic asthmatic bronchitis","Condition","SNOMED","Disorder","S","195949008","codelist"
"41",257905,"Mucopurulent chronic bronchitis","Condition","SNOMED","Disorder","S","74417001","codelist"
"42",258780,"Emphysematous bronchitis","Condition","SNOMED","Disorder","S","185086009","codelist"
"43",261889,"Simple chronic bronchitis","Condition","SNOMED","Disorder","S","61937009","codelist"
"44",765431,"Eosinophilic bronchitis","Condition","SNOMED","Disorder","S","451981000124108","codelist"
"45",1244485,"Chronic respiratory disease originating in perinatal period","Condition","SNOMED","Disorder","S","1287820006","codelist"
"46",3654945,"Bilateral congenital lobar emphysema","Condition","SNOMED","Disorder","S","840493007","codelist"
"47",4050731,"Byssinosis grade 3","Condition","SNOMED","Disorder","S","233672007","codelist"
"48",4051465,"Drug-induced bronchiolitis obliterans","Condition","SNOMED","Disorder","S","233673002","codelist"
"49",4112826,"Mixed simple and mucopurulent chronic bronchitis","Condition","SNOMED","Disorder","S","195953005","codelist"
"50",4112837,"Toxic bronchiolitis obliterans","Condition","SNOMED","Disorder","S","196027008","codelist"
"51",4137525,"Acute exacerbation of chronic bronchitis","Condition","SNOMED","Disorder","S","425748003","codelist"
"52",4172303,"Occupational bronchitis","Condition","SNOMED","Disorder","S","49691004","codelist"
"53",4200851,"Chronic tracheobronchitis","Condition","SNOMED","Disorder","S","52571006","codelist"
"54",4215256,"Chronic obstructive pulmonary disease follow-up","Observation","SNOMED","Procedure","S","394702007","codelist"
"55",4215257,"Chronic obstructive pulmonary disease annual review","Observation","SNOMED","Procedure","S","394703002","codelist"
"56",4222731,"Obliterative bronchiolitis","Condition","SNOMED","Disorder","S","40100001","codelist"
"57",4232302,"Catarrhal bronchitis","Condition","SNOMED","Disorder","S","89549007","codelist"
"58",4309350,"Fetid chronic bronchitis","Condition","SNOMED","Disorder","S","84409004","codelist"
"59",37206130,"Chronic bronchitis co-occurrent with wheeze","Condition","SNOMED","Disorder","S","785736001","codelist"
"60",46270376,"Acute exacerbation of chronic obstructive bronchitis","Condition","SNOMED","Disorder","S","293241000119100","codelist"
