"","descendant_concept_id","concept_name","domain_id","vocabulary_id","concept_class_id","standard_concept","concept_code","source"
"1",74892,"Articular gout","Condition","SNOMED","Disorder","S","48440001","codelist"
"2",376955,"Gouty tophus of pinna","Condition","SNOMED","Disorder","S","14763005","codelist"
"3",440674,"Gout","Condition","SNOMED","Disorder","S","90560007","codelist"
"4",4035436,"Secondary gout","Condition","SNOMED","Disorder","S","239843003","codelist"
"5",4035437,"Gout secondary to renal impairment","Condition","SNOMED","Disorder","S","239844009","codelist"
"6",4035438,"Gout caused by lead","Condition","SNOMED","Disorder","S","239846006","codelist"
"7",4035751,"Gout secondary to drug","Condition","SNOMED","Disorder","S","239845005","codelist"
"8",4035752,"Gout secondary to enzyme defect","Condition","SNOMED","Disorder","S","239847002","codelist"
"9",4079745,"Gouty bursitis","Condition","SNOMED","Disorder","S","239848007","codelist"
"10",4083344,"Gouty tophus of prepatellar bursa","Condition","SNOMED","Disorder","S","281365008","codelist"
"11",4084229,"Primary gout","Condition","SNOMED","Disorder","S","24595009","codelist"
"12",4099013,"Gouty tophus of heart","Condition","SNOMED","Disorder","S","27277001","codelist"
"13",4101425,"Gouty tophus of hand","Condition","SNOMED","Disorder","S","190842000","codelist"
"14",4104957,"Gouty tophus of bursa","Condition","SNOMED","Disorder","S","281362006","codelist"
"15",4104958,"Gouty tophus of tendon","Condition","SNOMED","Disorder","S","281363001","codelist"
"16",4104959,"Gouty tophus of olecranon bursa","Condition","SNOMED","Disorder","S","281364007","codelist"
"17",4114911,"Gouty arthritis of the hand","Condition","SNOMED","Disorder","S","201666003","codelist"
"18",4114912,"Gouty arthritis of the pelvic region and thigh","Condition","SNOMED","Disorder","S","201667007","codelist"
"19",4116007,"Gouty arthritis of the shoulder region","Condition","SNOMED","Disorder","S","201663006","codelist"
"20",4116008,"Gouty arthritis of the ankle and/or foot","Condition","SNOMED","Disorder","S","201669005","codelist"
"21",4116009,"Gouty arthritis of multiple sites","Condition","SNOMED","Disorder","S","201670006","codelist"
"22",4153103,"Visceral gout","Condition","SNOMED","Disorder","S","28428009","codelist"
"23",4154437,"Intercritical gout","Condition","SNOMED","Disorder","S","283839008","codelist"
"24",4179065,"Gouty arthritis of toe","Condition","SNOMED","Disorder","S","428839004","codelist"
"25",4182267,"Gouty iritis","Condition","SNOMED","Disorder","S","43193009","codelist"
"26",4188214,"Familial juvenile gout","Condition","SNOMED","Disorder","S","46785007","codelist"
"27",4247334,"Gouty neuritis","Condition","SNOMED","Disorder","S","9386003","codelist"
"28",4281849,"Podagra","Condition","SNOMED","Disorder","S","67148009","codelist"
"29",4285308,"Chronic gouty arthritis","Condition","SNOMED","Disorder","S","68451005","codelist"
"30",4297662,"Gouty tophus of digit","Condition","SNOMED","Disorder","S","402470003","codelist"
"31",4299408,"Gouty tophus","Condition","SNOMED","Disorder","S","402469004","codelist"
"32",35615129,"Bilateral chronic tophaceous gout of elbows","Condition","SNOMED","Disorder","S","16040031000119108","codelist"
"33",35615130,"Bilateral chronic tophaceous gout of hands","Condition","SNOMED","Disorder","S","16040071000119106","codelist"
"34",36714445,"Gouty tophus of toe","Condition","SNOMED","Disorder","S","719680009","codelist"
"35",36715572,"Chronic primary gouty arthritis","Condition","SNOMED","Disorder","S","721285007","codelist"
"36",37108592,"Gouty arthritis of right foot","Condition","SNOMED","Disorder","S","1074001000119107","codelist"
