"","descendant_concept_id","concept_name","domain_id","vocabulary_id","concept_class_id","standard_concept","concept_code","source"
"1",316139,"Heart failure","Condition","SNOMED","Disorder","S","84114007","codelist"
"2",316994,"Malignant hypertensive heart disease with congestive heart failure","Condition","SNOMED","Disorder","S","83105008","codelist"
"3",319835,"Congestive heart failure","Condition","SNOMED","Disorder","S","42343007","codelist"
"4",439694,"Hypertensive heart and renal disease with both (congestive) heart failure and renal failure","Condition","SNOMED","Disorder","S","194781004","codelist"
"5",439696,"Hypertensive heart and renal disease with (congestive) heart failure","Condition","SNOMED","Disorder","S","194779001","codelist"
"6",439698,"Benign hypertensive heart disease with congestive cardiac failure","Condition","SNOMED","Disorder","S","194767001","codelist"
"7",439846,"Left heart failure","Condition","SNOMED","Disorder","S","85232009","codelist"
"8",442310,"Acute heart failure","Condition","SNOMED","Disorder","S","56675007","codelist"
"9",444031,"Chronic heart failure","Condition","SNOMED","Disorder","S","48447003","codelist"
"10",4014159,"Chronic right-sided heart failure","Condition","SNOMED","Disorder","S","10335000","codelist"
"11",4023479,"Acute congestive heart failure","Condition","SNOMED","Disorder","S","10633002","codelist"
"12",4071869,"Congenital cardiac failure","Condition","SNOMED","Disorder","S","206586007","codelist"
"13",4108244,"Compensated cardiac failure","Condition","SNOMED","Disorder","S","195112003","codelist"
"14",4108245,"Acute left ventricular failure","Condition","SNOMED","Disorder","S","195114002","codelist"
"15",4111554,"Decompensated cardiac failure","Condition","SNOMED","Disorder","S","195111005","codelist"
"16",4124705,"Heart failure as a complication of care","Condition","SNOMED","Disorder","S","233924009","codelist"
"17",4139864,"Congestive heart failure due to left ventricular systolic dysfunction","Condition","SNOMED","Disorder","S","426263006","codelist"
"18",4142561,"Congestive heart failure due to valvular disease","Condition","SNOMED","Disorder","S","426611007","codelist"
"19",4184497,"Rheumatic left ventricular failure","Condition","SNOMED","Disorder","S","43736008","codelist"
"20",4195892,"Chronic cor pulmonale","Condition","SNOMED","Disorder","S","79955004","codelist"
"21",4199500,"Refractory heart failure","Condition","SNOMED","Disorder","S","314206003","codelist"
"22",4215802,"Cardiac asthma","Condition","SNOMED","Disorder","S","71892000","codelist"
"23",4229440,"Chronic congestive heart failure","Condition","SNOMED","Disorder","S","88805009","codelist"
"24",4242669,"Biventricular congestive heart failure","Condition","SNOMED","Disorder","S","92506005","codelist"
"25",4273632,"Right ventricular failure","Condition","SNOMED","Disorder","S","367363000","codelist"
"26",40486933,"Heart failure with normal ejection fraction","Condition","SNOMED","Disorder","S","446221000","codelist"
"27",45766164,"Heart failure with reduced ejection fraction","Condition","SNOMED","Disorder","S","703272007","codelist"
"28",312383,"Postpartum cardiomyopathy","Condition","SNOMED","Disorder","S","62377009","additional"
"29",314378,"Hypertensive heart disease with congestive heart failure","Condition","SNOMED","Disorder","S","5148006","additional"
"30",315295,"Congestive rheumatic heart failure","Condition","SNOMED","Disorder","S","82523003","additional"
"31",443580,"Systolic heart failure","Condition","SNOMED","Disorder","S","417996009","additional"
"32",443587,"Diastolic heart failure","Condition","SNOMED","Disorder","S","418304008","additional"
"33",444101,"Hypertensive heart failure","Condition","SNOMED","Disorder","S","46113002","additional"
