"","descendant_concept_id","concept_name","domain_id","vocabulary_id","concept_class_id","standard_concept","concept_code","source"
"1",141084,"Pre-eclampsia or eclampsia with pre-existing hypertension","Condition","SNOMED","Disorder","S","198997005","codelist"
"2",197930,"Renal hypertension complicating pregnancy, childbirth and the puerperium","Condition","SNOMED","Disorder","S","198949009","codelist"
"3",312648,"Benign essential hypertension","Condition","SNOMED","Disorder","S","1201005","codelist"
"4",314090,"Mild pre-eclampsia","Condition","SNOMED","Disorder","S","41114007","codelist"
"5",314958,"Benign secondary hypertension","Condition","SNOMED","Disorder","S","194785008","codelist"
"6",316866,"Hypertensive disorder","Condition","SNOMED","Disorder","S","38341003","codelist"
"7",317895,"Renovascular hypertension","Condition","SNOMED","Disorder","S","123799005","codelist"
"8",317898,"Malignant essential hypertension","Condition","SNOMED","Disorder","S","78975002","codelist"
"9",318437,"Malignant secondary hypertension","Condition","SNOMED","Disorder","S","89242004","codelist"
"10",319826,"Secondary hypertension","Condition","SNOMED","Disorder","S","31992008","codelist"
"11",320128,"Essential hypertension","Condition","SNOMED","Disorder","S","59621000","codelist"
"12",321074,"Pre-existing hypertension complicating pregnancy, childbirth and puerperium","Condition","SNOMED","Disorder","S","199005000","codelist"
"13",321080,"Hypertension complicating pregnancy, childbirth and the puerperium","Condition","SNOMED","Disorder","S","198941007","codelist"
"14",321638,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium","Condition","SNOMED","Disorder","S","198942000","codelist"
"15",433536,"Severe pre-eclampsia","Condition","SNOMED","Disorder","S","46764007","codelist"
"16",439393,"Pre-eclampsia","Condition","SNOMED","Disorder","S","398254007","codelist"
"17",441922,"Transient hypertension of pregnancy","Condition","SNOMED","Disorder","S","237279007","codelist"
"18",443771,"Renal hypertension","Condition","SNOMED","Disorder","S","28119000","codelist"
"19",762994,"Perioperative hypertension","Condition","SNOMED","Disorder","S","434711000124103","codelist"
"20",3656115,"Hypertension due to aortic arch obstruction","Condition","SNOMED","Disorder","S","871642009","codelist"
"21",4006325,"Hypertension secondary to renal disease in obstetric context","Condition","SNOMED","Disorder","S","111438007","codelist"
"22",4023318,"Malignant hypertension complicating AND/OR reason for care during childbirth","Condition","SNOMED","Disorder","S","10562009","codelist"
"23",4028741,"Benign hypertension","Condition","SNOMED","Disorder","S","10725009","codelist"
"24",4028951,"Malignant hypertension complicating AND/OR reason for care during puerperium","Condition","SNOMED","Disorder","S","23786008","codelist"
"25",4032952,"Renal sclerosis with hypertension","Condition","SNOMED","Disorder","S","14973001","codelist"
"26",4034031,"Benign essential hypertension complicating AND/OR reason for care during pregnancy","Condition","SNOMED","Disorder","S","23717007","codelist"
"27",4034094,"Moderate proteinuric hypertension of pregnancy","Condition","SNOMED","Disorder","S","237281009","codelist"
"28",4034095,"Impending eclampsia","Condition","SNOMED","Disorder","S","237282002","codelist"
"29",4048212,"Goldblatt hypertension","Condition","SNOMED","Disorder","S","123800009","codelist"
"30",4049389,"Paroxysmal hypertension","Condition","SNOMED","Disorder","S","23130000","codelist"
"31",4057976,"Severe pre-eclampsia with postnatal complication","Condition","SNOMED","Disorder","S","198986005","codelist"
"32",4057978,"Pre-existing hypertensive heart and renal disease complicating pregnancy, childbirth and the puerperium","Condition","SNOMED","Disorder","S","199007008","codelist"
"33",4057979,"Pre-existing secondary hypertension complicating pregnancy, childbirth and puerperium","Condition","SNOMED","Disorder","S","199008003","codelist"
"34",4058987,"High-renin essential hypertension","Condition","SNOMED","Disorder","S","19769006","codelist"
"35",4061667,"Hypertension induced by oral contraceptive pill","Condition","SNOMED","Disorder","S","169465000","codelist"
"36",4062550,"Pre-eclampsia or eclampsia with pre-existing hypertension with postnatal complication","Condition","SNOMED","Disorder","S","199003007","codelist"
"37",4062552,"Pre-existing hypertensive heart disease complicating pregnancy, childbirth and the puerperium","Condition","SNOMED","Disorder","S","199006004","codelist"
"38",4062811,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium with postnatal complication","Condition","SNOMED","Disorder","S","198947006","codelist"
"39",4062906,"Transient hypertension of pregnancy with postnatal complication","Condition","SNOMED","Disorder","S","198968007","codelist"
"40",4071202,"Neonatal hypertension","Condition","SNOMED","Disorder","S","206596003","codelist"
"41",4080325,"Chronic hypertension complicating AND/OR reason for care during puerperium","Condition","SNOMED","Disorder","S","24042004","codelist"
"42",4083723,"Essential hypertension complicating AND/OR reason for care during childbirth","Condition","SNOMED","Disorder","S","18416000","codelist"
"43",4094374,"Hypertension secondary to renal disease complicating AND/OR reason for care during childbirth","Condition","SNOMED","Disorder","S","26078007","codelist"
"44",4108213,"Hypertension secondary to drug","Condition","SNOMED","Disorder","S","194791005","codelist"
"45",4110947,"Malignant secondary renovascular hypertension","Condition","SNOMED","Disorder","S","194783001","codelist"
"46",4110948,"Hypertension secondary to endocrine disorder","Condition","SNOMED","Disorder","S","194788005","codelist"
"47",4118910,"Maternal hypertension","Condition","SNOMED","Disorder","S","288250001","codelist"
"48",4146627,"Non-proteinuric hypertension of pregnancy","Condition","SNOMED","Disorder","S","307632004","codelist"
"49",4146816,"Pre-existing hypertension complicating AND/OR reason for care during childbirth","Condition","SNOMED","Disorder","S","34694006","codelist"
"50",4148205,"Benign essential hypertension complicating AND/OR reason for care during puerperium","Condition","SNOMED","Disorder","S","35303009","codelist"
"51",4151903,"Pre-existing hypertension complicating AND/OR reason for care during puerperium","Condition","SNOMED","Disorder","S","31407004","codelist"
"52",4159755,"Labile essential hypertension","Condition","SNOMED","Disorder","S","371125006","codelist"
"53",4162306,"Malignant hypertension complicating AND/OR reason for care during pregnancy","Condition","SNOMED","Disorder","S","29259002","codelist"
"54",4167358,"Diastolic hypertension","Condition","SNOMED","Disorder","S","48146000","codelist"
"55",4167493,"Pregnancy-induced hypertension","Condition","SNOMED","Disorder","S","48194001","codelist"
"56",4174979,"Hypertension secondary to renal disease complicating AND/OR reason for care during pregnancy","Condition","SNOMED","Disorder","S","48552006","codelist"
"57",4178312,"Hypertension secondary to kidney transplant","Condition","SNOMED","Disorder","S","428575007","codelist"
"58",4179379,"Exertional hypertension","Condition","SNOMED","Disorder","S","429198000","codelist"
"59",4180283,"Systolic essential hypertension","Condition","SNOMED","Disorder","S","429457004","codelist"
"60",4199306,"Transient hypertension","Condition","SNOMED","Disorder","S","52698002","codelist"
"61",4209293,"Systolic hypertension","Condition","SNOMED","Disorder","S","56218007","codelist"
"62",4212496,"Parenchymal renal hypertension","Condition","SNOMED","Disorder","S","57684003","codelist"
"63",4215640,"Benign essential hypertension complicating AND/OR reason for care during childbirth","Condition","SNOMED","Disorder","S","71874008","codelist"
"64",4217486,"Essential hypertension in obstetric context","Condition","SNOMED","Disorder","S","72022006","codelist"
"65",4218088,"Malignant hypertension in obstetric context","Condition","SNOMED","Disorder","S","81626002","codelist"
"66",4219323,"Hypertension secondary to renal disease complicating AND/OR reason for care during puerperium","Condition","SNOMED","Disorder","S","39727004","codelist"
"67",4221991,"Rebound hypertension","Condition","SNOMED","Disorder","S","84094009","codelist"
"68",4227607,"Chronic hypertension in obstetric context","Condition","SNOMED","Disorder","S","8762007","codelist"
"69",4242878,"Sustained diastolic hypertension","Condition","SNOMED","Disorder","S","59720008","codelist"
"70",4249016,"Benign secondary renovascular hypertension","Condition","SNOMED","Disorder","S","73410007","codelist"
"71",4253928,"Secondary diastolic hypertension","Condition","SNOMED","Disorder","S","74451002","codelist"
"72",4262182,"Hypertension with albuminuria","Condition","SNOMED","Disorder","S","397748008","codelist"
"73",4263067,"Low-renin essential hypertension","Condition","SNOMED","Disorder","S","46481004","codelist"
"74",4269358,"Benign essential hypertension in obstetric context","Condition","SNOMED","Disorder","S","63287004","codelist"
"75",4276511,"Labile diastolic hypertension","Condition","SNOMED","Disorder","S","65518004","codelist"
"76",4277110,"Pre-existing hypertension complicating AND/OR reason for care during pregnancy","Condition","SNOMED","Disorder","S","65402008","codelist"
"77",4279525,"Hypertension in the obstetric context","Condition","SNOMED","Disorder","S","367390009","codelist"
"78",4283352,"Pre-eclampsia added to pre-existing hypertension","Condition","SNOMED","Disorder","S","67359005","codelist"
"79",4289142,"Eclampsia added to pre-existing hypertension","Condition","SNOMED","Disorder","S","69909000","codelist"
"80",4289933,"Malignant hypertension","Condition","SNOMED","Disorder","S","70272006","codelist"
"81",4291933,"Chronic hypertension complicating AND/OR reason for care during pregnancy","Condition","SNOMED","Disorder","S","37618003","codelist"
"82",4302591,"Essential hypertension complicating AND/OR reason for care during pregnancy","Condition","SNOMED","Disorder","S","78808002","codelist"
