"","descendant_concept_id","concept_name","domain_id","vocabulary_id","concept_class_id","standard_concept","concept_code","source"
"1",72401,"Kashin-Bek disease","Condition","SNOMED","Disorder","S","270505009","codelist"
"2",72405,"Degenerative joint disease of shoulder region","Condition","SNOMED","Disorder","S","67315001","codelist"
"3",72709,"Crystal arthropathy of multiple sites","Condition","SNOMED","Disorder","S","20075001","codelist"
"4",72990,"Localized osteoarthrosis uncertain if primary OR secondary","Condition","SNOMED","Disorder","S","90860001","codelist"
"5",72993,"Localized, primary osteoarthritis","Condition","SNOMED","Disorder","S","201829007","codelist"
"6",73287,"Crystal arthropathy of ankle AND/OR foot","Condition","SNOMED","Disorder","S","75468006","codelist"
"7",73550,"Crystal arthropathy of elbow","Condition","SNOMED","Disorder","S","428768008","codelist"
"8",73554,"Kashin-Beck disease of the pelvic region and thigh","Condition","SNOMED","Disorder","S","201925000","codelist"
"9",73840,"Localized, primary osteoarthritis of the shoulder region","Condition","SNOMED","Disorder","S","201831003","codelist"
"10",74132,"Degeneration of lumbosacral intervertebral disc","Condition","SNOMED","Disorder","S","60937000","codelist"
"11",74444,"Crystal arthropathy of knee","Condition","SNOMED","Disorder","S","429420005","codelist"
"12",74445,"Crystal arthropathy of shoulder region","Condition","SNOMED","Disorder","S","34427002","codelist"
"13",74722,"Secondary localized osteoarthrosis of pelvic region","Condition","SNOMED","Disorder","S","25343008","codelist"
"14",75036,"Localized, primary osteoarthritis of the hand","Condition","SNOMED","Disorder","S","201834006","codelist"
"15",75037,"Kashin-Beck disease of the ankle and/or foot","Condition","SNOMED","Disorder","S","201927008","codelist"
"16",75617,"Degenerative joint disease involving multiple joints","Condition","SNOMED","Disorder","S","201819000","codelist"
"17",76194,"Osteoarthrosis involving multiple sites but not designated as generalized","Condition","SNOMED","Disorder","S","33262002","codelist"
"18",76499,"Chondrocalcinosis due to pyrophosphate crystals, of the shoulder region","Condition","SNOMED","Disorder","S","201639003","codelist"
"19",76500,"Crystal arthropathy of hand","Condition","SNOMED","Disorder","S","26241001","codelist"
"20",77073,"Kashin-Beck disease of the hand","Condition","SNOMED","Disorder","S","201924001","codelist"
"21",77353,"Chondrocalcinosis due to pyrophosphate crystals, of the ankle and foot","Condition","SNOMED","Disorder","S","201645006","codelist"
"22",77631,"Localized, secondary osteoarthritis of the shoulder region","Condition","SNOMED","Disorder","S","201849003","codelist"
"23",77632,"Chondrocalcinosis due to dicalcium phosphate crystals, of the shoulder region","Condition","SNOMED","Disorder","S","201627006","codelist"
"24",77633,"Chondrocalcinosis due to dicalcium phosphate crystals, of the ankle and foot","Condition","SNOMED","Disorder","S","201633002","codelist"
"25",77639,"Diffuse cervicobrachial syndrome","Condition","SNOMED","Disorder","S","33420007","codelist"
"26",77953,"Crystal arthropathy of hip","Condition","SNOMED","Disorder","S","428027008","codelist"
"27",78227,"Degenerative joint disease of hand","Condition","SNOMED","Disorder","S","22193007","codelist"
"28",78505,"Localized, primary osteoarthritis of the ankle and/or foot","Condition","SNOMED","Disorder","S","201837004","codelist"
"29",78506,"Kashin-Beck disease of multiple sites","Condition","SNOMED","Disorder","S","201929006","codelist"
"30",79107,"Chondrocalcinosis-pyrophosphate crystals, of the hand","Condition","SNOMED","Disorder","S","201642009","codelist"
"31",79119,"Thoracic spondylosis with myelopathy","Condition","SNOMED","Disorder","S","10948005","codelist"
"32",79904,"Localized, secondary osteoarthritis of the hand","Condition","SNOMED","Disorder","S","201852006","codelist"
"33",80180,"Osteoarthritis","Condition","SNOMED","Disorder","S","396275006","codelist"
"34",80183,"Localized, secondary osteoarthritis of the ankle and/or foot","Condition","SNOMED","Disorder","S","201855008","codelist"
"35",80484,"Crystal arthropathy","Condition","SNOMED","Disorder","S","18834007","codelist"
"36",80797,"Chondrocalcinosis due to dicalcium phosphate crystals, of the hand","Condition","SNOMED","Disorder","S","201630004","codelist"
"37",80802,"Localized, secondary osteoarthritis","Condition","SNOMED","Disorder","S","201847001","codelist"
"38",80813,"Lumbosacral spondylosis without myelopathy","Condition","SNOMED","Disorder","S","48210000","codelist"
"39",80816,"Degeneration of intervertebral disc","Condition","SNOMED","Disorder","S","77547008","codelist"
"40",81378,"Chondromalacia of patella","Condition","SNOMED","Disorder","S","36071006","codelist"
"41",138519,"Spondylosis without myelopathy","Condition","SNOMED","Disorder","S","68859000","codelist"
"42",141941,"Cervical spondylosis without myelopathy","Condition","SNOMED","Disorder","S","267970006","codelist"
"43",198520,"Lumbar spondylosis with myelopathy","Condition","SNOMED","Disorder","S","67437007","codelist"
"44",314131,"Degeneration of cervical intervertebral disc","Condition","SNOMED","Disorder","S","69195002","codelist"
"45",432394,"Chondrocalcinosis due to pyrophosphate crystals, of multiple sites","Condition","SNOMED","Disorder","S","201646007","codelist"
"46",433281,"Chondrocalcinosis due to dicalcium phosphate crystals, of the pelvic region and thigh","Condition","SNOMED","Disorder","S","201631000","codelist"
"47",433844,"Chondrocalcinosis due to pyrophosphate crystals, of the pelvic region and thigh","Condition","SNOMED","Disorder","S","201643004","codelist"
"48",434123,"Primary localized osteoarthrosis of pelvic region","Condition","SNOMED","Disorder","S","77994009","codelist"
"49",434449,"Degeneration of thoracolumbar intervertebral disc","Condition","SNOMED","Disorder","S","91240008","codelist"
"50",435038,"Crystal arthropathy of wrist","Condition","SNOMED","Disorder","S","429419004","codelist"
"51",437629,"Chondrocalcinosis due to dicalcium phosphate crystals","Condition","SNOMED","Disorder","S","201625003","codelist"
"52",438531,"Chondromalacia","Condition","SNOMED","Disorder","S","63198006","codelist"
"53",439678,"Kashin-Beck disease of the shoulder region","Condition","SNOMED","Disorder","S","201921009","codelist"
"54",439901,"Chondrocalcinosis due to pyrophosphate crystals","Condition","SNOMED","Disorder","S","201637001","codelist"
"55",440170,"Chondrocalcinosis due to dicalcium phosphate crystals, of multiple sites","Condition","SNOMED","Disorder","S","201634008","codelist"
"56",442775,"Degeneration of thoracic intervertebral disc","Condition","SNOMED","Disorder","S","68675004","codelist"
"57",443116,"Cervical posterior longitudinal ligament ossification","Condition","SNOMED","Disorder","S","202771000","codelist"
"58",443769,"Degeneration of lumbar intervertebral disc","Condition","SNOMED","Disorder","S","26538006","codelist"
