"","descendant_concept_id","concept_name","domain_id","vocabulary_id","concept_class_id","standard_concept","concept_code"
"1",433736,"Obesity","Condition","SNOMED","Disorder","S","414916001"
"2",434005,"Morbid obesity","Condition","SNOMED","Disorder","S","238136002"
"3",4029276,"Generalized obesity","Condition","SNOMED","Disorder","S","238134004"
"4",4217557,"Simple obesity","Condition","SNOMED","Disorder","S","415530009"
"5",37018860,"Severe obesity","Condition","SNOMED","Disorder","S","83911000119104"
"6",763588,"Obese class I","Observation","SNOMED","Clinical Finding","S","443371000124107"
"7",763589,"Obese class II","Observation","SNOMED","Clinical Finding","S","443381000124105"
"8",4060985,"Body mass index 30+ - obesity","Observation","SNOMED","Clinical Finding","S","162864005"
"9",4215968,"Obese","Observation","SNOMED","Clinical Finding","S","414915002"
"10",4256640,"Body mass index 40+ - severely obese","Observation","SNOMED","Clinical Finding","S","408512008"
"11",37311728,"Obese class III","Observation","SNOMED","Clinical Finding","S","819948005"
"12",44811711,"Obese class I (body mass index 30.0 - 34.9)","Observation","SNOMED","Clinical Finding","S","914721000000105"
"13",44811712,"Obese class II (body mass index 35.0 - 39.9)","Observation","SNOMED","Clinical Finding","S","914731000000107"
"14",45770011,"Child body mass index greater than 99.6th centile","Observation","SNOMED","Clinical Finding","S","921051000000109"
"15",45773589,"Child body mass index 98.1st-99.6th centile","Observation","SNOMED","Clinical Finding","S","921031000000102"
