"","descendant_concept_id","concept_name","domain_id","vocabulary_id","concept_class_id","standard_concept","concept_code","source"
"1",22665,"Chronic peptic ulcer with hemorrhage AND with perforation but without obstruction","Condition","SNOMED","Disorder","S","55746001","codelist"
"2",23237,"Acute peptic ulcer with hemorrhage AND obstruction","Condition","SNOMED","Disorder","S","43406003","codelist"
"3",23245,"Esophageal bleeding","Condition","SNOMED","Disorder","S","15238002","codelist"
"4",23247,"Chronic peptic ulcer with perforation but without obstruction","Condition","SNOMED","Disorder","S","80953005","codelist"
"5",23808,"Chronic peptic ulcer without hemorrhage, without perforation AND without obstruction","Condition","SNOMED","Disorder","S","60400003","codelist"
"6",24076,"Chronic peptic ulcer with hemorrhage AND obstruction","Condition","SNOMED","Disorder","S","56461008","codelist"
"7",24397,"Chronic peptic ulcer with hemorrhage, with perforation AND with obstruction","Condition","SNOMED","Disorder","S","77661009","codelist"
"8",24973,"Chronic peptic ulcer without hemorrhage AND without perforation but with obstruction","Condition","SNOMED","Disorder","S","12384004","codelist"
"9",25844,"Ulcer of esophagus","Condition","SNOMED","Disorder","S","30811009","codelist"
"10",26441,"Bleeding ulcer of esophagus","Condition","SNOMED","Disorder","S","57748001","codelist"
"11",26718,"Acute peptic ulcer with perforation AND obstruction","Condition","SNOMED","Disorder","S","35681000","codelist"
"12",26727,"Hematemesis","Condition","SNOMED","Disorder","S","8765009","codelist"
"13",27026,"Acute peptic ulcer with hemorrhage AND with perforation but without obstruction","Condition","SNOMED","Disorder","S","47064007","codelist"
"14",30439,"Acute peptic ulcer with perforation but without obstruction","Condition","SNOMED","Disorder","S","34921009","codelist"
"15",30442,"Chronic peptic ulcer with perforation AND obstruction","Condition","SNOMED","Disorder","S","57871005","codelist"
"16",30770,"Chronic peptic ulcer with hemorrhage but without obstruction","Condition","SNOMED","Disorder","S","81518000","codelist"
"17",31335,"Acute peptic ulcer with hemorrhage but without obstruction","Condition","SNOMED","Disorder","S","22157005","codelist"
"18",192671,"Gastrointestinal hemorrhage","Condition","SNOMED","Disorder","S","74474003","codelist"
"19",192954,"Acute gastric ulcer without hemorrhage AND without perforation but with obstruction","Condition","SNOMED","Disorder","S","81225008","codelist"
"20",193249,"Acute hemorrhagic gastritis","Condition","SNOMED","Disorder","S","2367005","codelist"
"21",193250,"Gastric hemorrhage","Condition","SNOMED","Disorder","S","61401005","codelist"
"22",193795,"Acute gastric ulcer with hemorrhage but without obstruction","Condition","SNOMED","Disorder","S","70418001","codelist"
"23",194158,"Perinatal gastrointestinal hemorrhage","Condition","SNOMED","Disorder","S","48729005","codelist"
"24",194395,"Hemorrhage of large intestine with diverticular disease of large intestine","Condition","SNOMED","Disorder","S","197092000","codelist"
"25",194680,"Acute gastric ulcer with perforation but without obstruction","Condition","SNOMED","Disorder","S","90628007","codelist"
"26",194986,"Acute peptic ulcer with hemorrhage, with perforation AND with obstruction","Condition","SNOMED","Disorder","S","28945005","codelist"
"27",195583,"Chronic gastric ulcer without hemorrhage AND without perforation but with obstruction","Condition","SNOMED","Disorder","S","60531007","codelist"
"28",195584,"Acute peptic ulcer without hemorrhage AND without perforation but with obstruction","Condition","SNOMED","Disorder","S","58085004","codelist"
"29",195845,"Acute gastric ulcer with hemorrhage, with perforation and with obstruction","Condition","SNOMED","Disorder","S","53337006","codelist"
"30",195851,"Gastric ulcer without hemorrhage, without perforation AND without obstruction","Condition","SNOMED","Disorder","S","59913009","codelist"
"31",196442,"Chronic gastric ulcer with hemorrhage AND with perforation but without obstruction","Condition","SNOMED","Disorder","S","74341002","codelist"
"32",196443,"Gastric ulcer without hemorrhage AND without perforation but with obstruction","Condition","SNOMED","Disorder","S","31452001","codelist"
"33",197018,"Chronic gastric ulcer with hemorrhage but without obstruction","Condition","SNOMED","Disorder","S","76078009","codelist"
"34",197024,"Small intestinal hemorrhage","Condition","SNOMED","Disorder","S","70375006","codelist"
"35",197914,"Chronic gastric ulcer with perforation but without obstruction","Condition","SNOMED","Disorder","S","36246001","codelist"
"36",197925,"Hemorrhage of rectum and anus","Condition","SNOMED","Disorder","S","266464001","codelist"
"37",198187,"Acute peptic ulcer without hemorrhage, without perforation AND without obstruction","Condition","SNOMED","Disorder","S","3023008","codelist"
"38",198190,"Gastric ulcer with perforation AND obstruction","Condition","SNOMED","Disorder","S","72486001","codelist"
"39",198467,"Acute gastric ulcer with hemorrhage and obstruction","Condition","SNOMED","Disorder","S","46708007","codelist"
"40",198801,"Chronic gastric ulcer with hemorrhage, with perforation and with obstruction","Condition","SNOMED","Disorder","S","85787009","codelist"
"41",199062,"Acute gastric ulcer without hemorrhage, without perforation AND without obstruction","Condition","SNOMED","Disorder","S","54053008","codelist"
"42",199855,"Acute gastric ulcer with hemorrhage AND with perforation but without obstruction","Condition","SNOMED","Disorder","S","17067009","codelist"
"43",200137,"Acute gastric ulcer with perforation AND obstruction","Condition","SNOMED","Disorder","S","43694004","codelist"
"44",200769,"Chronic gastric ulcer without hemorrhage, without perforation AND without obstruction","Condition","SNOMED","Disorder","S","1567007","codelist"
"45",200771,"Peptic ulcer without hemorrhage AND without perforation but with obstruction","Condition","SNOMED","Disorder","S","54157007","codelist"
"46",201069,"Peptic ulcer without hemorrhage, without perforation AND without obstruction","Condition","SNOMED","Disorder","S","38365000","codelist"
"47",201885,"Chronic gastric ulcer with hemorrhage and with obstruction","Condition","SNOMED","Disorder","S","85859006","codelist"
"48",316457,"Mallory-Weiss syndrome","Condition","SNOMED","Disorder","S","35265002","codelist"
"49",432354,"Chronic duodenal ulcer with perforation but without obstruction","Condition","SNOMED","Disorder","S","34602004","codelist"
"50",432951,"Acute gastrojejunal ulcer without hemorrhage AND without perforation but with obstruction","Condition","SNOMED","Disorder","S","10389003","codelist"
"51",433246,"Chronic duodenal ulcer without hemorrhage, without perforation AND without obstruction","Condition","SNOMED","Disorder","S","57940000","codelist"
"52",433515,"Chronic gastrojejunal ulcer with hemorrhage","Condition","SNOMED","Disorder","S","62838000","codelist"
"53",434070,"Acute duodenal ulcer with perforation AND obstruction","Condition","SNOMED","Disorder","S","62936002","codelist"
"54",434400,"Chronic gastrojejunal ulcer without hemorrhage AND without perforation but with obstruction","Condition","SNOMED","Disorder","S","56579005","codelist"
"55",434402,"Acute duodenal ulcer with hemorrhage but without obstruction","Condition","SNOMED","Disorder","S","66767006","codelist"
"56",435305,"Duodenal ulcer without hemorrhage AND without perforation but with obstruction","Condition","SNOMED","Disorder","S","18169007","codelist"
"57",435578,"Acute duodenal ulcer with perforation but without obstruction","Condition","SNOMED","Disorder","S","22511002","codelist"
"58",435579,"Chronic gastrojejunal ulcer with perforation but without obstruction","Condition","SNOMED","Disorder","S","62477005","codelist"
"59",435846,"Acute gastrojejunal ulcer with perforation AND obstruction","Condition","SNOMED","Disorder","S","72219001","codelist"
"60",435855,"Acute duodenal ulcer with hemorrhage AND with perforation but without obstruction","Condition","SNOMED","Disorder","S","51847008","codelist"
"61",435859,"Acute duodenal ulcer without hemorrhage AND without perforation but with obstruction","Condition","SNOMED","Disorder","S","75342000","codelist"
"62",436148,"Chronic duodenal ulcer with hemorrhage but without obstruction","Condition","SNOMED","Disorder","S","62341002","codelist"
"63",436453,"Chronic duodenal ulcer with obstruction","Condition","SNOMED","Disorder","S","196666001","codelist"
