"","descendant_concept_id","concept_name","domain_id","vocabulary_id","concept_class_id","standard_concept","concept_code","source"
"1",80809,"Rheumatoid arthritis","Condition","SNOMED","Disorder","S","69896004","codelist"
"2",601030,"Left ankle seropositive rheumatoid arthritis","Condition","SNOMED","Disorder","S","318841000119100","codelist"
"3",601031,"Left elbow seropositive rheumatoid arthritis","Condition","SNOMED","Disorder","S","318851000119103","codelist"
"4",601032,"Seropositive rheumatoid arthritis of left hand","Condition","SNOMED","Disorder","S","318861000119101","codelist"
"5",601033,"Seropositive rheumatoid arthritis of joint of left shoulder region","Condition","SNOMED","Disorder","S","318891000119108","codelist"
"6",601034,"Left wrist region seropositive rheumatoid arthritis","Condition","SNOMED","Disorder","S","318901000119107","codelist"
"7",601035,"Right ankle seropositive rheumatoid arthritis","Condition","SNOMED","Disorder","S","318911000119105","codelist"
"8",601036,"Right elbow seropositive rheumatoid arthritis","Condition","SNOMED","Disorder","S","318921000119103","codelist"
"9",601037,"Seropositive rheumatoid arthritis of joint of right shoulder region","Condition","SNOMED","Disorder","S","318961000119108","codelist"
"10",601038,"Right wrist region seropositive rheumatoid arthritis","Condition","SNOMED","Disorder","S","318971000119102","codelist"
"11",601039,"Seronegative rheumatoid arthritis of joint of left ankle","Condition","SNOMED","Disorder","S","319011000119103","codelist"
"12",601040,"Left hip joint seronegative rheumatoid arthritis","Condition","SNOMED","Disorder","S","319041000119104","codelist"
"13",601041,"Seronegative rheumatoid arthritis of left knee joint","Condition","SNOMED","Disorder","S","319051000119102","codelist"
"14",601042,"Left shoulder region seronegative rheumatoid arthritis","Condition","SNOMED","Disorder","S","319061000119100","codelist"
"15",601043,"Left wrist region seronegative rheumatoid arthritis","Condition","SNOMED","Disorder","S","319071000119106","codelist"
"16",601044,"Seronegative rheumatoid arthritis of joint of right ankle","Condition","SNOMED","Disorder","S","319091000119107","codelist"
"17",601045,"Right hip joint seronegative rheumatoid arthritis","Condition","SNOMED","Disorder","S","319121000119106","codelist"
"18",601046,"Seronegative rheumatoid arthritis of right knee joint","Condition","SNOMED","Disorder","S","319131000119109","codelist"
"19",601047,"Right shoulder region seronegative rheumatoid arthritis","Condition","SNOMED","Disorder","S","319141000119100","codelist"
"20",601048,"Right wrist region seronegative rheumatoid arthritis","Condition","SNOMED","Disorder","S","319151000119103","codelist"
"21",603298,"Bilateral seropositive rheumatoid arthritis of shoulder regions","Condition","SNOMED","Disorder","S","15691841000119102","codelist"
"22",603300,"Bilateral seropositive rheumatoid arthritis of hip joints","Condition","SNOMED","Disorder","S","15691921000119100","codelist"
"23",605413,"Right foot seropositive rheumatoid arthritis","Condition","SNOMED","Disorder","S","1073601000119101","codelist"
"24",605414,"Left foot seropositive rheumatoid arthritis","Condition","SNOMED","Disorder","S","1073611000119103","codelist"
"25",607144,"Isolated nailfold rheumatoid vasculitis","Condition","SNOMED","Disorder","S","1149218009","codelist"
"26",607145,"Systemic rheumatoid vasculitis","Condition","SNOMED","Disorder","S","1149219001","codelist"
"27",608809,"Bilateral seronegative rheumatoid arthritis of feet","Condition","SNOMED","Disorder","S","15691081000119100","codelist"
"28",608813,"Bilateral seropositive rheumatoid arthritis of wrist joint regions","Condition","SNOMED","Disorder","S","15692041000119104","codelist"
"29",609024,"Bilateral seropositive rheumatoid arthritis of feet","Condition","SNOMED","Disorder","S","16050071000119108","codelist"
"30",609061,"Seropositive rheumatoid arthritis of right hand","Condition","SNOMED","Disorder","S","318931000119100","codelist"
"31",1244750,"Seronegative rheumatoid arthritis of joint of shoulder region","Condition","SNOMED","Disorder","S","1290768009","codelist"
"32",1245533,"Rheumatoid arthritis of bilateral glenohumeral joints","Condition","SNOMED","Disorder","S","15686241000119106","codelist"
"33",1245541,"Seronegative rheumatoid arthritis of joint of bilateral shoulder regions","Condition","SNOMED","Disorder","S","15691281000119106","codelist"
"34",1245542,"Seronegative rheumatoid arthritis of bilateral hip joints","Condition","SNOMED","Disorder","S","15691361000119106","codelist"
"35",4030424,"Rheumatoid osteoperiostitis","Condition","SNOMED","Disorder","S","129563009","codelist"
"36",4035611,"Seropositive rheumatoid arthritis","Condition","SNOMED","Disorder","S","239791005","codelist"
"37",4083556,"Seronegative rheumatoid arthritis","Condition","SNOMED","Disorder","S","239792003","codelist"
"38",4103516,"Rheumatoid carditis","Condition","SNOMED","Disorder","S","28880005","codelist"
"39",4114439,"Rheumatoid arthritis of shoulder","Condition","SNOMED","Disorder","S","201766009","codelist"
"40",4114440,"Rheumatoid arthritis of distal interphalangeal joint of finger","Condition","SNOMED","Disorder","S","201774005","codelist"
"41",4114441,"Rheumatoid arthritis of first metatarsophalangeal joint","Condition","SNOMED","Disorder","S","201783000","codelist"
"42",4114442,"Rheumatoid arthritis of interphalangeal joint of toe","Condition","SNOMED","Disorder","S","201785007","codelist"
"43",4114444,"Flare of rheumatoid arthritis","Condition","SNOMED","Disorder","S","201791009","codelist"
"44",4115050,"Rheumatoid arthritis of distal radioulnar joint","Condition","SNOMED","Disorder","S","201770001","codelist"
"45",4115051,"Rheumatoid arthritis of tibiofibular joint","Condition","SNOMED","Disorder","S","201778008","codelist"
"46",4115161,"Rheumatoid arthritis - hand joint","Condition","SNOMED","Disorder","S","287007001","codelist"
"47",4116148,"Rheumatoid arthritis of sternoclavicular joint","Condition","SNOMED","Disorder","S","201767000","codelist"
"48",4116149,"Rheumatoid arthritis of acromioclavicular joint","Condition","SNOMED","Disorder","S","201768005","codelist"
"49",4116150,"Rheumatoid arthritis of hip","Condition","SNOMED","Disorder","S","201775006","codelist"
"50",4116151,"Rheumatoid arthritis of knee","Condition","SNOMED","Disorder","S","201777003","codelist"
"51",4116152,"Rheumatoid arthritis of talonavicular joint","Condition","SNOMED","Disorder","S","201781003","codelist"
"52",4116153,"Rheumatoid arthritis of lesser metatarsophalangeal joint","Condition","SNOMED","Disorder","S","201784006","codelist"
"53",4116439,"Rheumatoid arthritis of cervical spine","Condition","SNOMED","Disorder","S","201764007","codelist"
"54",4116440,"Rheumatoid arthritis of elbow","Condition","SNOMED","Disorder","S","201769002","codelist"
"55",4116441,"Rheumatoid arthritis of wrist","Condition","SNOMED","Disorder","S","201771002","codelist"
"56",4116442,"Rheumatoid arthritis of metacarpophalangeal joint","Condition","SNOMED","Disorder","S","201772009","codelist"
"57",4116443,"Rheumatoid arthritis of proximal interphalangeal joint of finger","Condition","SNOMED","Disorder","S","201773004","codelist"
"58",4116444,"Rheumatoid arthritis of sacroiliac joint","Condition","SNOMED","Disorder","S","201776007","codelist"
"59",4116445,"Rheumatoid arthritis of ankle","Condition","SNOMED","Disorder","S","201779000","codelist"
"60",4116446,"Rheumatoid arthritis of subtalar joint","Condition","SNOMED","Disorder","S","201780002","codelist"
"61",4117686,"Rheumatoid arthritis of multiple joints","Condition","SNOMED","Disorder","S","287006005","codelist"
"62",4117687,"Rheumatoid arthritis - ankle and/or foot","Condition","SNOMED","Disorder","S","287008006","codelist"
"63",4147418,"Seropositive erosive rheumatoid arthritis","Condition","SNOMED","Disorder","S","308143008","codelist"
"64",4162539,"Rheumatoid arthritis with pneumoconiosis","Condition","SNOMED","Disorder","S","398640008","codelist"
"65",4179378,"Rheumatoid arthritis of foot","Condition","SNOMED","Disorder","S","429192004","codelist"
"66",4179536,"Rheumatoid arthritis of temporomandibular joint","Condition","SNOMED","Disorder","S","427770001","codelist"
"67",4243509,"Rheumatoid scleritis","Condition","SNOMED","Disorder","S","59165007","codelist"
"68",4269880,"Rheumatoid arteritis","Condition","SNOMED","Disorder","S","399923009","codelist"
"69",4271003,"Rheumatoid vasculitis","Condition","SNOMED","Disorder","S","400054000","codelist"
"70",4296152,"Rheumatoid pericarditis","Condition","SNOMED","Disorder","S","7607008","codelist"
"71",4297651,"Rheumatoid arthritis with nailfold and finger-pulp infarcts","Condition","SNOMED","Disorder","S","402433007","codelist"
"72",4299308,"Rheumatoid neutrophilic dermatitis","Condition","SNOMED","Disorder","S","402432002","codelist"
"73",4300202,"Rheumatoid episcleritis","Condition","SNOMED","Disorder","S","77522006","codelist"
"74",4306357,"Rheumatoid aortitis","Condition","SNOMED","Disorder","S","38877003","codelist"
"75",4311391,"Uveitis-rheumatoid arthritis syndrome","Condition","SNOMED","Disorder","S","86219005","codelist"
"76",4347065,"Rheumatoid necrotizing vasculitis","Condition","SNOMED","Disorder","S","239943002","codelist"
"77",35609009,"Rheumatoid arthritis of left shoulder","Condition","SNOMED","Disorder","S","1073741000119109","codelist"
"78",35609010,"Rheumatoid arthritis of right shoulder","Condition","SNOMED","Disorder","S","1073821000119109","codelist"
"79",36683391,"Rheumatoid arthritis of joint of spine","Condition","SNOMED","Disorder","S","781206002","codelist"
"80",36685019,"Rheumatoid arthritis of left foot","Condition","SNOMED","Disorder","S","1073701000119107","codelist"
"81",36685020,"Rheumatoid arthritis of left wrist","Condition","SNOMED","Disorder","S","1073751000119106","codelist"
"82",36685023,"Rheumatoid arthritis of right foot","Condition","SNOMED","Disorder","S","1073781000119104","codelist"
"83",36685024,"Rheumatoid arthritis of right wrist","Condition","SNOMED","Disorder","S","1073831000119107","codelist"
"84",37108590,"Rheumatoid arthritis of left knee","Condition","SNOMED","Disorder","S","1073731000119100","codelist"
"85",37108591,"Rheumatoid arthritis of right knee","Condition","SNOMED","Disorder","S","1073811000119102","codelist"
"86",37108714,"Seropositive rheumatoid arthritis of multiple joints","Condition","SNOMED","Disorder","S","11055151000119108","codelist"
"87",37117421,"Rheumatoid arthritis in remission","Condition","SNOMED","Disorder","S","143441000119108","codelist"
"88",37160376,"Seronegative erosive rheumatoid arthritis","Condition","SNOMED","Disorder","S","1162303002","codelist"
"89",37160384,"Rheumatoid factor and anti-citrullinated protein antibody positive rheumatoid arthritis","Condition","SNOMED","Disorder","S","1162313005","codelist"
"90",37160390,"Rheumatoid factor and anti-citrullinated protein antibody positive erosive rheumatoid arthritis","Condition","SNOMED","Disorder","S","1162319009","codelist"
"91",37160399,"Anti-citrullinated protein antibody positive erosive rheumatoid arthritis","Condition","SNOMED","Disorder","S","1162336001","codelist"
"92",37160417,"Felty syndrome with seronegative erosive rheumatoid arthritis","Condition","SNOMED","Disorder","S","1162362005","codelist"
"93",37160421,"Felty syndrome with seronegative rheumatoid arthritis","Condition","SNOMED","Disorder","S","1162364006","codelist"
"94",37160562,"Rheumatoid arthritis with rheumatoid lung disease","Condition","SNOMED","Disorder","S","1162677006","codelist"
"95",37207809,"Seronegative rheumatoid arthritis of multiple joints","Condition","SNOMED","Disorder","S","319081000119109","codelist"
"96",42534834,"Rheumatoid arthritis of left hand","Condition","SNOMED","Disorder","S","1073711000119105","codelist"
"97",42534835,"Rheumatoid arthritis of left hip","Condition","SNOMED","Disorder","S","1073721000119103","codelist"
"98",42534836,"Rheumatoid arthritis of right hand","Condition","SNOMED","Disorder","S","1073791000119101","codelist"
"99",42534837,"Rheumatoid arthritis of right hip","Condition","SNOMED","Disorder","S","1073801000119100","codelist"
"100",42539550,"Rheumatoid arthritis with erosion of joint","Condition","SNOMED","Disorder","S","735599007","codelist"
"101",4270869,"Rheumatoid nodulosis","Condition","SNOMED","Disorder","S","402426007","codelist"
"102",4292371,"Accelerated rheumatoid nodulosis","Condition","SNOMED","Disorder","S","402427003","codelist"
"103",4297649,"Accelerated rheumatoid nodulosis caused by methotrexate","Condition","SNOMED","Disorder","S","402428008","codelist"
"104",4297650,"Cutaneous atrophy due to rheumatoid arthritis","Condition","SNOMED","Disorder","S","402431009","codelist"
"105",4299307,"Rheumatoid linear subcutaneous bands","Condition","SNOMED","Disorder","S","402429000","codelist"
"106",4299403,"Cutaneous complication of rheumatoid disease","Condition","SNOMED","Disorder","S","402434001","codelist"
"107",4330635,"Deformity of wrist due to rheumatoid arthritis","Condition","SNOMED","Clinical Finding","S","431707004","codelist"
"108",4334806,"Deformity of foot due to rheumatoid arthritis","Condition","SNOMED","Clinical Finding","S","433228003","codelist"
"109",42535177,"Polyarticular juvenile idiopathic arthritis","Condition","SNOMED","Disorder","S","16044751000119106","codelist"
"110",37207812,"Rheumatoid nodule of subcutaneous tissue of left elbow","Condition","SNOMED","Disorder","S","319861000119106","codelist"
"111",37207813,"Rheumatoid nodule of subcutaneous tissue of left hand","Condition","SNOMED","Disorder","S","319871000119100","codelist"
"112",37207814,"Rheumatoid nodule of subcutaneous tissue of right elbow","Condition","SNOMED","Disorder","S","319941000119103","codelist"
"113",37207815,"Rheumatoid nodule of subcutaneous tissue of right hand","Condition","SNOMED","Disorder","S","319951000119101","codelist"
"114",37209311,"Bilateral rheumatoid nodule of subcutaneous tissue of elbows","Condition","SNOMED","Disorder","S","15673361000119100","codelist"
"115",37309722,"Bilateral deformity of feet due to rheumatoid arthritis","Condition","SNOMED","Clinical Finding","S","15744961000119106","codelist"
"116",37309723,"Bilateral deformity of wrists due to rheumatoid arthritis","Condition","SNOMED","Disorder","S","15744481000119106","codelist"
"117",256197,"Rheumatoid lung disease","Condition","SNOMED","Disorder","S","398726004","codelist"
"118",81097,"Felty's syndrome","Condition","SNOMED","Disorder","S","57160007","codelist"
"119",4116447,"Systemic onset juvenile chronic arthritis","Condition","SNOMED","Disorder","S","201796004","codelist"
"120",4028118,"Diffuse interstitial rheumatoid disease of lung","Condition","SNOMED","Disorder","S","10713006","codelist"
"121",42534838,"Deformity of right hand co-occurrent and due to rheumatoid arthritis","Condition","SNOMED","Disorder","S","1073861000119104","codelist"
"122",42534839,"Deformity of left hand co-occurrent and due to rheumatoid arthritis","Condition","SNOMED","Disorder","S","1073871000119105","codelist"
"123",42534840,"Deformity of right foot co-occurrent and due to rheumatoid arthritis","Condition","SNOMED","Disorder","S","1073881000119108","codelist"
"124",42534841,"Deformity of left foot co-occurrent and due to rheumatoid arthritis","Condition","SNOMED","Disorder","S","1073891000119106","codelist"
"125",40400211,"Rheumatoid nodule","Condition","SNOMED","Disorder","S","201789001","codelist"
"126",608041,"Rheumatoid factor positive and anti-citrullinated protein antibody positive juvenile polyarthritis","Condition","SNOMED","Disorder","S","1156774008","codelist"
"127",608042,"Rheumatoid factor positive and anti-citrullinated protein antibody negative juvenile polyarthritis","Condition","SNOMED","Disorder","S","1156777001","codelist"
"128",608043,"Rheumatoid factor negative and anti-citrullinated protein antibody negative juvenile polyarthritis","Condition","SNOMED","Disorder","S","1156778006","codelist"
"129",608044,"Rheumatoid factor negative and anti-citrullinated protein antibody positive juvenile polyarthritis","Condition","SNOMED","Disorder","S","1156779003","codelist"
"130",4259507,"Juvenile idiopathic arthritis","Condition","SNOMED","Disorder","S","410502007","codelist"
"131",4132811,"Juvenile idiopathic arthritis, oligoarthritis","Condition","SNOMED","Disorder","S","410798004","codelist"
"132",42535150,"Acute polyarticular juvenile idiopathic arthritis","Condition","SNOMED","Disorder","S","16024431000119108","codelist"
"133",37159985,"Deformity of right wrist due to rheumatoid arthritis","Condition","SNOMED","Disorder","S","1073841000119103","codelist"
"134",37159986,"Deformity of left wrist due to rheumatoid arthritis","Condition","SNOMED","Disorder","S","1073851000119101","codelist"
"135",1244137,"Rheumatoid nodule of subcutaneous tissue of right foot","Condition","SNOMED","Disorder","S","1073661000119100","codelist"
"136",1244138,"Rheumatoid nodule of subcutaneous tissue of left foot","Condition","SNOMED","Disorder","S","1073671000119106","codelist"
"137",1244798,"Rheumatoid nodule of subcutaneous tissue of right ankle","Condition","SNOMED","Disorder","S","1290876002","codelist"
"138",1244799,"Rheumatoid nodule of subcutaneous tissue of left ankle","Condition","SNOMED","Disorder","S","1290877006","codelist"
"139",1245508,"Rheumatoid nodule of bilateral wrists","Condition","SNOMED","Disorder","S","15673281000119100","codelist"
"140",1245509,"Rheumatoid nodule of bilateral ankles","Condition","SNOMED","Disorder","S","15673441000119106","codelist"
"141",1246066,"Rheumatoid nodule of ankle","Condition","SNOMED","Disorder","S","299411000119100","codelist"
"142",1246067,"Rheumatoid nodule of subcutaneous tissue of foot","Condition","SNOMED","Disorder","S","299421000119107","codelist"
"143",1246068,"Rheumatoid nodule of knee","Condition","SNOMED","Disorder","S","299461000119102","codelist"
"144",1246069,"Rheumatoid nodule of wrist","Condition","SNOMED","Disorder","S","299481000119106","codelist"
"145",1246185,"Rheumatoid nodule of left knee","Condition","SNOMED","Disorder","S","319891000119104","codelist"
"146",1246186,"Rheumatoid nodule of left wrist","Condition","SNOMED","Disorder","S","319911000119102","codelist"
"147",1246187,"Rheumatoid nodule of right knee","Condition","SNOMED","Disorder","S","319971000119105","codelist"
"148",1246188,"Rheumatoid nodule of right wrist","Condition","SNOMED","Disorder","S","319991000119106","codelist"
"149",46273442,"Deformity of hand due to rheumatoid arthritis","Condition","SNOMED","Disorder","S","96531000119109","codelist"
"150",44790163,"Delivery of rehabilitation for rheumatoid arthritis","Procedure","SNOMED","Procedure","S","231041000000107","codelist"
"151",4291025,"Arthritis","Condition","SNOMED","Disorder","S","3723001","codelist"
"152",3654567,"Spindling of fingers of bilateral hands due to rheumatoid arthritis","Condition","SNOMED","Disorder","S","836472001","codelist"
"153",4060405,"Dilated cardiomyopathy due to rheumatoid arthritis","Condition","SNOMED","Disorder","S","21430002","codelist"
"154",4102493,"Polyneuropathy in rheumatoid arthritis","Condition","SNOMED","Disorder","S","193180002","codelist"
"155",4107913,"Myopathy due to rheumatoid arthritis","Condition","SNOMED","Disorder","S","193250002","codelist"
