"","descendant_concept_id","concept_name","domain_id","vocabulary_id","concept_class_id","standard_concept","concept_code","source"
"1",373503,"Transient cerebral ischemia","Condition","SNOMED","Disorder","S","266257000","codelist"
"2",379778,"Multi-infarct dementia","Condition","SNOMED","Disorder","S","56267009","codelist"
"3",381316,"Cerebrovascular accident","Condition","SNOMED","Disorder","S","230690007","codelist"
"4",444091,"Multi-infarct dementia with delirium","Condition","SNOMED","Disorder","S","10349009","codelist"
"5",602584,"Cerebrovascular accident due to occlusion of basilar artery","Condition","SNOMED","Disorder","S","239965291000119107","codelist"
"6",602590,"Cerebrovascular accident of basal ganglia","Condition","SNOMED","Disorder","S","595899961000119100","codelist"
"7",602613,"Cerebrovascular accident due to embolism of bilateral cerebellar arteries","Condition","SNOMED","Disorder","S","58173271000119101","codelist"
"8",602615,"Cerebrovascular accident due to occlusion of right anterior cerebral artery","Condition","SNOMED","Disorder","S","655081461000119101","codelist"
"9",603206,"Cerebrovascular accident due to occlusion of left posterior communicating artery","Condition","SNOMED","Disorder","S","117776611000119102","codelist"
"10",603326,"Cryptogenic stroke","Condition","SNOMED","Disorder","S","16891111000119104","codelist"
"11",604171,"Cerebrovascular accident due to thrombosis of right cerebellar artery","Condition","SNOMED","Disorder","S","496369931000119104","codelist"
"12",604192,"Cerebrovascular accident of thalamus","Condition","SNOMED","Disorder","S","769023031000119104","codelist"
"13",605421,"Cerebrovascular accident due to embolism of bilateral anterior cerebral arteries","Condition","SNOMED","Disorder","S","107557061000119108","codelist"
"14",608742,"Cerebrovascular accident due to embolism of bilateral carotid arteries","Condition","SNOMED","Disorder","S","152148641000119104","codelist"
"15",609188,"Cerebrovascular accident due to embolism of bilateral posterior cerebral arteries","Condition","SNOMED","Disorder","S","168747591000119109","codelist"
"16",609242,"Cerebrovascular accident due to occlusion of left anterior cerebral artery","Condition","SNOMED","Disorder","S","182960891000119101","codelist"
"17",609245,"Cerebrovascular accident due to occlusion of bilateral middle cerebral arteries","Condition","SNOMED","Disorder","S","188174841000119103","codelist"
"18",609263,"Cerebrovascular accident due to embolism of left anterior cerebral artery","Condition","SNOMED","Disorder","S","251770561000119107","codelist"
"19",609301,"Cerebrovascular accident due to occlusion of bilateral cerebellar arteries","Condition","SNOMED","Disorder","S","346674811000119104","codelist"
"20",609313,"Cerebrovascular accident due to embolism of right carotid artery","Condition","SNOMED","Disorder","S","384430101000119103","codelist"
"21",609314,"Cerebrovascular accident due to thrombosis of right posterior cerebral artery","Condition","SNOMED","Disorder","S","38595071000119104","codelist"
"22",618627,"Cerebrovascular accident due to thrombosis of right vertebral artery","Condition","SNOMED","Disorder","S","511452481000119102","codelist"
"23",618628,"Cerebrovascular accident due to embolism of left vertebral artery","Condition","SNOMED","Disorder","S","517253051000119105","codelist"
"24",618640,"Cerebrovascular accident of brainstem","Condition","SNOMED","Disorder","S","652287331000119104","codelist"
"25",618658,"Cerebrovascular accident due to occlusion of bilateral anterior cerebral arteries","Condition","SNOMED","Disorder","S","720261501000119107","codelist"
"26",618670,"Cerebrovascular accident due to embolism of bilateral vertebral arteries","Condition","SNOMED","Disorder","S","732330391000119107","codelist"
"27",618672,"Cerebrovascular accident due to thrombosis of left vertebral artery","Condition","SNOMED","Disorder","S","759950981000119101","codelist"
"28",618677,"Cerebrovascular accident due to embolism of right vertebral artery","Condition","SNOMED","Disorder","S","806161651000119106","codelist"
"29",618684,"Cerebrovascular accident due to embolism of right anterior cerebral artery","Condition","SNOMED","Disorder","S","849488701000119104","codelist"
"30",618685,"Cerebrovascular accident due to occlusion of right posterior communicating artery","Condition","SNOMED","Disorder","S","849579281000119106","codelist"
"31",618686,"Cerebrovascular accident due to thrombosis of left posterior cerebral artery","Condition","SNOMED","Disorder","S","851365731000119106","codelist"
"32",618688,"Cerebrovascular accident due to embolism of left carotid artery","Condition","SNOMED","Disorder","S","859422751000119101","codelist"
"33",618689,"Cerebrovascular accident due to occlusion of bilateral posterior cerebral arteries","Condition","SNOMED","Disorder","S","86553761000119103","codelist"
"34",619046,"Cerebrovascular accident of medulla oblongata","Condition","SNOMED","Disorder","S","881694631000119107","codelist"
"35",619802,"Cerebrovascular accident due to occlusion of bilateral vertebral arteries","Condition","SNOMED","Disorder","S","898941951000119108","codelist"
"36",619830,"Cerebrovascular accident due to embolism of basilar artery","Condition","SNOMED","Disorder","S","915141931000119109","codelist"
"37",619933,"Cerebrovascular accident due to embolism of bilateral middle cerebral arteries","Condition","SNOMED","Disorder","S","939885431000119109","codelist"
"38",619944,"Cerebrovascular accident due to thrombosis of left cerebellar artery","Condition","SNOMED","Disorder","S","957319791000119104","codelist"
"39",764721,"Cerebrovascular accident with intracranial hemorrhage","Condition","SNOMED","Disorder","S","5571000124103","codelist"
"40",4006295,"Nonparalytic stroke","Condition","SNOMED","Disorder","S","111297002","codelist"
"41",4023571,"Paralytic stroke","Condition","SNOMED","Disorder","S","116288000","codelist"
"42",4043734,"Carotid territory transient ischemic attack","Condition","SNOMED","Disorder","S","230716006","codelist"
"43",4045734,"CVA - cerebrovascular accident due to cerebral artery occlusion","Condition","SNOMED","Disorder","S","230691006","codelist"
"44",4045747,"Anterior circulation stroke of uncertain pathology","Condition","SNOMED","Disorder","S","230714009","codelist"
"45",4045748,"Posterior circulation stroke of uncertain pathology","Condition","SNOMED","Disorder","S","230715005","codelist"
"46",4046363,"Stroke of uncertain pathology","Condition","SNOMED","Disorder","S","230713003","codelist"
"47",4048785,"Vertebrobasilar territory transient ischemic attack","Condition","SNOMED","Disorder","S","230717002","codelist"
"48",4077819,"Millard-Gubler syndrome","Condition","SNOMED","Disorder","S","276221006","codelist"
"49",4078314,"Foville syndrome","Condition","SNOMED","Disorder","S","276220007","codelist"
"50",4086178,"Weber-Gubler syndrome","Condition","SNOMED","Disorder","S","24654003","codelist"
"51",4090122,"Extension of cerebrovascular accident","Condition","SNOMED","Disorder","S","281240008","codelist"
"52",4099974,"Completed stroke","Condition","SNOMED","Disorder","S","25133001","codelist"
"53",4108360,"Anterior cerebral artery syndrome","Condition","SNOMED","Disorder","S","195210002","codelist"
"54",4110194,"Middle cerebral artery syndrome","Condition","SNOMED","Disorder","S","195209007","codelist"
"55",4110195,"Posterior cerebral artery syndrome","Condition","SNOMED","Disorder","S","195211003","codelist"
"56",4110196,"Right sided cerebral hemisphere cerebrovascular accident","Condition","SNOMED","Disorder","S","195217004","codelist"
"57",4111710,"Brainstem stroke syndrome","Condition","SNOMED","Disorder","S","195212005","codelist"
"58",4111711,"Cerebellar stroke syndrome","Condition","SNOMED","Disorder","S","195213000","codelist"
"59",4112020,"Carotid artery syndrome hemispheric","Condition","SNOMED","Disorder","S","195200006","codelist"
"60",4112022,"Left sided cerebral hemisphere cerebrovascular accident","Condition","SNOMED","Disorder","S","195216008","codelist"
"61",4153352,"Embolic stroke","Condition","SNOMED","Disorder","S","371041009","codelist"
"62",4159140,"Thrombotic stroke","Condition","SNOMED","Disorder","S","371040005","codelist"
"63",4168056,"Stroke in the puerperium","Condition","SNOMED","Disorder","S","275434003","codelist"
"64",4189462,"Occlusive stroke","Condition","SNOMED","Disorder","S","373606000","codelist"
"65",4211509,"Cardioembolic stroke","Condition","SNOMED","Disorder","S","413758000","codelist"
"66",4238315,"Progressing stroke","Condition","SNOMED","Disorder","S","57981008","codelist"
"67",4301259,"Posterior inferior cerebellar artery syndrome","Condition","SNOMED","Disorder","S","78569004","codelist"
"68",4310996,"Ischemic stroke","Condition","SNOMED","Disorder","S","422504002","codelist"
"69",4337830,"Claude's syndrome","Condition","SNOMED","Disorder","S","87555007","codelist"
"70",35609033,"Haemorrhagic stroke","Condition","SNOMED","Disorder","S","1078001000000105","codelist"
"71",36716999,"Cerebellar stroke","Condition","SNOMED","Disorder","S","16371781000119100","codelist"
"72",37110237,"Cerebral ischemic stroke due to small artery occlusion","Condition","SNOMED","Disorder","S","724424009","codelist"
"73",37110241,"Stroke co-occurrent with migraine","Condition","SNOMED","Disorder","S","724429004","codelist"
"74",37162743,"Pediatric arterial ischemic stroke","Condition","SNOMED","Disorder","S","1197363004","codelist"
"75",37163753,"Cerebrovascular accident following heart procedure","Condition","SNOMED","Disorder","S","12204031000119101","codelist"
"76",37164462,"Malignant middle cerebral artery syndrome","Condition","SNOMED","Disorder","S","1231168008","codelist"
"77",37167963,"Cerebrovascular accident due to thrombosis of anterior cerebral artery","Condition","SNOMED","Disorder","S","1269237007","codelist"
"78",37167974,"Cerebrovascular accident due to occlusion of anterior choroidal artery","Condition","SNOMED","Disorder","S","1269248000","codelist"
"79",37169493,"Cerebrovascular accident due to occlusion of left anterior choroidal artery","Condition","SNOMED","Disorder","S","16023951000119109","codelist"
"80",37169663,"Cerebrovascular accident due to occlusion of bilateral carotid arteries","Condition","SNOMED","Disorder","S","16644541000119106","codelist"
"81",37170052,"Cerebrovascular accident due to thrombosis of left anterior cerebral artery","Condition","SNOMED","Disorder","S","195772021000119105","codelist"
"82",37170180,"Cerebrovascular accident due to occlusion of right anterior choroidal artery","Condition","SNOMED","Disorder","S","16024071000119102","codelist"
"83",37170768,"Cerebrovascular accident due to thrombosis of bilateral posterior cerebral arteries","Condition","SNOMED","Disorder","S","297778421000119102","codelist"
"84",37172241,"Cerebrovascular accident due to thrombosis of bilateral cerebellar arteries","Condition","SNOMED","Disorder","S","488408691000119104","codelist"
"85",37173015,"Cerebrovascular accident due to thrombosis of bilateral carotid arteries","Condition","SNOMED","Disorder","S","563789641000119101","codelist"
"86",37173188,"Cerebrovascular accident due to thrombosis of bilateral vertebral arteries","Condition","SNOMED","Disorder","S","578968971000119100","codelist"
"87",37174313,"Cerebrovascular accident due to thrombosis of right anterior cerebral artery","Condition","SNOMED","Disorder","S","828066161000119106","codelist"
"88",37209562,"Cerebrovascular accident due to stenosis of bilateral carotid arteries","Condition","SNOMED","Disorder","S","16661971000119104","codelist"
"89",37309657,"Cerebrovascular accident due to stenosis of bilateral vertebral arteries","Condition","SNOMED","Disorder","S","16661931000119102","codelist"
"90",37309665,"Cerebrovascular accident due to occlusion of bilateral pontine arteries","Condition","SNOMED","Disorder","S","16644681000119102","codelist"
"91",37312013,"Cerebral ischemic stroke due to subarachnoid hemorrhage","Condition","SNOMED","Disorder","S","788884002","codelist"
"92",37312014,"Cerebral ischemic stroke due to hypercoagulable state","Condition","SNOMED","Disorder","S","788883008","codelist"
"93",37312015,"Cerebral ischemic stroke due to global hypoperfusion with watershed infarct","Condition","SNOMED","Disorder","S","788882003","codelist"
"94",37312016,"Cerebral ischemic stroke due to aortic arch embolism","Condition","SNOMED","Disorder","S","788881005","codelist"
"95",37312017,"Cerebral ischemic stroke due to dissection of artery","Condition","SNOMED","Disorder","S","788880006","codelist"
"96",37395574,"Cerebrovascular accident due to right carotid artery occlusion","Condition","SNOMED","Disorder","S","16023911000119108","codelist"
"97",37395575,"Cerebrovascular accident due to right carotid artery stenosis","Condition","SNOMED","Disorder","S","16026951000119102","codelist"
"98",37395576,"Cerebrovascular accident due to left carotid artery stenosis","Condition","SNOMED","Disorder","S","16026991000119107","codelist"
"99",40480273,"Superior cerebellar artery syndrome","Condition","SNOMED","Disorder","S","444657001","codelist"
"100",40485430,"Recurrent transient cerebral ischemic attack","Condition","SNOMED","Disorder","S","444172003","codelist"
"101",42535110,"Cerebrovascular accident due to occlusion of right posterior cerebral artery","Condition","SNOMED","Disorder","S","16000391000119104","codelist"
"102",42535111,"Cerebrovascular accident due to occlusion of right middle cerebral artery","Condition","SNOMED","Disorder","S","16000431000119109","codelist"
"103",42535112,"Cerebrovascular accident due to occlusion of left middle cerebral artery","Condition","SNOMED","Disorder","S","16000511000119103","codelist"
"104",42535113,"Cerebrovascular accident due to thrombus of right middle cerebral artery","Condition","SNOMED","Disorder","S","16002031000119102","codelist"
"105",42535114,"Cerebrovascular accident due to thrombus of left middle cerebral artery","Condition","SNOMED","Disorder","S","16002111000119106","codelist"
"106",42535148,"Cerebrovascular accident due to occlusion of left cerebellar artery","Condition","SNOMED","Disorder","S","16024151000119105","codelist"
"107",42535149,"Cerebrovascular accident due to occlusion of right cerebellar artery","Condition","SNOMED","Disorder","S","16024271000119107","codelist"
"108",42535503,"Cerebrovascular accident due to occlusion of right middle cerebral artery by embolus","Condition","SNOMED","Disorder","S","329361000119107","codelist"
"109",42535504,"Cerebrovascular accident due to occlusion of left middle cerebral artery by embolus","Condition","SNOMED","Disorder","S","329371000119101","codelist"
"110",42535505,"Cerebrovascular accident due to occlusion of right posterior cerebral artery by embolus","Condition","SNOMED","Disorder","S","329421000119107","codelist"
"111",42535506,"Cerebrovascular accident due to occlusion of left posterior cerebral artery by embolus","Condition","SNOMED","Disorder","S","329431000119105","codelist"
"112",42535507,"Cerebrovascular accident due to occlusion of right cerebellar artery by embolus","Condition","SNOMED","Disorder","S","329451000119104","codelist"
"113",42535508,"Cerebrovascular accident due to occlusion of left cerebellar artery by embolus","Condition","SNOMED","Disorder","S","329461000119102","codelist"
"114",42535511,"Cerebrovascular accident due to thrombus of basilar artery","Condition","SNOMED","Disorder","S","329641000119104","codelist"
"115",42535512,"Cerebrovascular accident due to thrombus of right carotid artery","Condition","SNOMED","Disorder","S","329651000119102","codelist"
"116",42539166,"Cerebrovascular accident due to thrombus of left carotid artery","Condition","SNOMED","Disorder","S","330791000119108","codelist"
"117",42539195,"Cerebrovascular accident due to occlusion of left posterior cerebral artery","Condition","SNOMED","Disorder","S","16000351000119109","codelist"
"118",42539262,"Cerebrovascular accident due to occlusion of left carotid artery","Condition","SNOMED","Disorder","S","16024111000119109","codelist"
"119",43530670,"Ischemic stroke without coma","Condition","SNOMED","Disorder","S","140921000119102","codelist"
"120",43531607,"Cerebral infarction due to stenosis of carotid artery","Condition","SNOMED","Disorder","S","99451000119105","codelist"
"121",4234089,"Subcortical leukoencephalopathy","Condition","SNOMED","Disorder","S","90099008","codelist"
"122",4299377,"Intrapontine hemorrhage","Condition","SNOMED","Disorder","S","7713009","codelist"
"123",4316224,"Brain stem infarction","Condition","SNOMED","Disorder","S","95457000","codelist"
"124",4319328,"Brain stem hemorrhage","Condition","SNOMED","Disorder","S","95454007","codelist"
"125",4319331,"Cerebellar infarction","Condition","SNOMED","Disorder","S","95460007","codelist"
"126",4326561,"Cerebellar hemorrhage","Condition","SNOMED","Disorder","S","75038005","codelist"
"127",35610084,"Cerebral infarction due to occlusion of cerebral artery","Condition","SNOMED","Disorder","S","1089411000000104","codelist"
"128",35610085,"Cerebral infarction due to stenosis of cerebral artery","Condition","SNOMED","Disorder","S","1089421000000105","codelist"
"129",36717605,"Silent cerebral infarct","Condition","SNOMED","Disorder","S","723082006","codelist"
"130",37116267,"Hemorrhage of medulla oblongata","Condition","SNOMED","Disorder","S","732923001","codelist"
"131",37312367,"Bilateral occlusion of pontine arteries","Condition","SNOMED","Disorder","S","788455001","codelist"
"132",42535096,"Thrombosis of right vertebral artery","Condition","SNOMED","Disorder","S","15978431000119106","codelist"
"133",42535227,"Acute cerebral ischemia","Condition","SNOMED","Disorder","S","16218291000119100","codelist"
"134",42535413,"Dysphagia due to and following non-traumatic intracerebral hemorrhage","Condition","SNOMED","Disorder","S","290641000119107","codelist"
"135",42535423,"Spontaneous hemorrhage of deep cerebral hemisphere","Condition","SNOMED","Disorder","S","291511000119103","codelist"
"136",42535424,"Spontaneous hemorrhage of cortical intracerebral hemisphere","Condition","SNOMED","Disorder","S","291521000119105","codelist"
"137",42535425,"Spontaneous hemorrhage of cerebral hemisphere","Condition","SNOMED","Disorder","S","291531000119108","codelist"
"138",42535465,"Lacunar ataxic hemiparesis of right dominant side","Condition","SNOMED","Disorder","S","292851000119109","codelist"
"139",42535466,"Lacunar ataxic hemiparesis of left dominant side","Condition","SNOMED","Disorder","S","292861000119106","codelist"
"140",42535509,"Occlusion of left middle cerebral artery","Condition","SNOMED","Disorder","S","329491000119109","codelist"
"141",42535510,"Occlusion of left posterior cerebral artery","Condition","SNOMED","Disorder","S","329571000119107","codelist"
"142",42535523,"Lacunar ataxic hemiparesis of left nondominant side","Condition","SNOMED","Disorder","S","330411000119109","codelist"
"143",42535524,"Lacunar ataxic hemiparesis of right nondominant side","Condition","SNOMED","Disorder","S","330421000119102","codelist"
"144",42535874,"Thrombosis of left middle cerebral artery","Condition","SNOMED","Disorder","S","734383005","codelist"
"145",42536242,"Embolus of left posterior cerebral artery","Condition","SNOMED","Disorder","S","734961002","codelist"
"146",42536243,"Embolus of right middle cerebral artery","Condition","SNOMED","Disorder","S","734965006","codelist"
"147",42538818,"Occlusion of right middle cerebral artery by embolus","Condition","SNOMED","Disorder","S","762629007","codelist"
"148",42538819,"Occlusion of left middle cerebral artery by embolus","Condition","SNOMED","Disorder","S","762630002","codelist"
"149",42538828,"Occlusion of right posterior cerebral artery by embolus","Condition","SNOMED","Disorder","S","762651004","codelist"
"150",42538981,"Occlusion of left posterior cerebral artery by embolus","Condition","SNOMED","Disorder","S","762652006","codelist"
"151",42538998,"Thrombosis of right middle cerebral artery","Condition","SNOMED","Disorder","S","734384004","codelist"
"152",42539014,"Embolus of right posterior cerebral artery","Condition","SNOMED","Disorder","S","734963004","codelist"
"153",42539269,"Spontaneous hemorrhage of brain stem","Condition","SNOMED","Disorder","S","291541000119104","codelist"
"154",42539276,"Occlusion of right middle cerebral artery","Condition","SNOMED","Disorder","S","329481000119106","codelist"
"155",42539472,"Embolus of left middle cerebral artery","Condition","SNOMED","Disorder","S","734964005","codelist"
"156",42539787,"Occlusion of right posterior cerebral artery","Condition","SNOMED","Disorder","S","329561000119101","codelist"
"157",600670,"Occlusion of anterior cerebral artery","Condition","SNOMED","Disorder","S","1153543002","codelist"
"158",601068,"Bilateral occlusion of middle cerebral arteries","Condition","SNOMED","Disorder","S","329501000119102","codelist"
"159",601069,"Bilateral occlusion of anterior cerebral arteries","Condition","SNOMED","Disorder","S","329541000119100","codelist"
"160",607524,"Occlusion of right anterior cerebral artery","Condition","SNOMED","Disorder","S","1153544008","codelist"
"161",607525,"Occlusion of left anterior cerebral artery","Condition","SNOMED","Disorder","S","1153545009","codelist"
"162",607526,"Bilateral occlusion of posterior cerebral arteries","Condition","SNOMED","Disorder","S","1153546005","codelist"
"163",607564,"Occlusion of right posterior communicating artery","Condition","SNOMED","Disorder","S","1153607003","codelist"
"164",607565,"Occlusion of left posterior communicating artery","Condition","SNOMED","Disorder","S","1153608008","codelist"
"165",607568,"Embolism of left anterior cerebral artery","Condition","SNOMED","Disorder","S","1153611009","codelist"
"166",607569,"Embolism of right anterior cerebral artery","Condition","SNOMED","Disorder","S","1153612002","codelist"
"167",607583,"Embolism of left carotid artery","Condition","SNOMED","Disorder","S","1153630009","codelist"
"168",607584,"Embolism of right carotid artery","Condition","SNOMED","Disorder","S","1153631008","codelist"
"169",607585,"Bilateral embolism of middle cerebral arteries","Condition","SNOMED","Disorder","S","1153632001","codelist"
"170",607586,"Bilateral embolism of posterior cerebral arteries","Condition","SNOMED","Disorder","S","1153633006","codelist"
"171",607587,"Bilateral embolism of anterior cerebral arteries","Condition","SNOMED","Disorder","S","1153634000","codelist"
"172",607591,"Occlusion of bilateral cerebellar arteries","Condition","SNOMED","Disorder","S","1153638002","codelist"
"173",607611,"Bilateral embolism of carotid arteries","Condition","SNOMED","Disorder","S","1155688007","codelist"
"174",607612,"Bilateral embolism of cerebellar arteries","Condition","SNOMED","Disorder","S","1155689004","codelist"
"175",607619,"Embolism of left vertebral artery","Condition","SNOMED","Disorder","S","1155697006","codelist"
"176",607620,"Embolism of right vertebral artery","Condition","SNOMED","Disorder","S","1155698001","codelist"
"177",607621,"Bilateral embolism of vertebral arteries","Condition","SNOMED","Disorder","S","1155699009","codelist"
"178",607815,"Left posterior cerebral artery thrombosis","Condition","SNOMED","Disorder","S","1156016006","codelist"
"179",607816,"Right posterior cerebral artery thrombosis","Condition","SNOMED","Disorder","S","1156017002","codelist"
"180",607817,"Left cerebellar artery thrombosis","Condition","SNOMED","Disorder","S","1156018007","codelist"
"181",607818,"Right cerebellar artery thrombosis","Condition","SNOMED","Disorder","S","1156019004","codelist"
"182",607826,"Cerebral venous sinus thrombosis in pregnancy","Condition","SNOMED","Disorder","S","1156027008","codelist"
"183",607828,"Cerebral venous sinus thrombosis in puerperium","Condition","SNOMED","Disorder","S","1156029006","codelist"
"184",37161435,"Fetal epilepsy due to perinatal stroke","Condition","SNOMED","Disorder","S","1179360000","codelist"
"185",37163055,"Asymptomatic occlusion of intracranial vertebral artery","Condition","SNOMED","Disorder","S","1204189004","codelist"
"186",37163067,"Infective occlusion of cerebral artery","Condition","SNOMED","Disorder","S","1204202004","codelist"
"187",37166364,"Dementia due to hemorrhagic cerebral infarction due to hypertension","Condition","SNOMED","Disorder","S","1259499007","codelist"
"188",37166871,"Hemorrhagic cerebral infarction due to hypertension","Condition","SNOMED","Disorder","S","1260271009","codelist"
"189",37167039,"Infarction of brain due to migraine","Condition","SNOMED","Disorder","S","1263550001","codelist"
"190",37167964,"Thrombosis of anterior cerebral artery","Condition","SNOMED","Disorder","S","1269238002","codelist"
"191",37167965,"Thrombosis of left anterior cerebral artery","Condition","SNOMED","Disorder","S","1269239005","codelist"
"192",37167966,"Thrombosis of right anterior cerebral artery","Condition","SNOMED","Disorder","S","1269240007","codelist"
"193",37167969,"Bilateral thrombosis of carotid arteries","Condition","SNOMED","Disorder","S","1269243009","codelist"
"194",37167970,"Bilateral thrombosis of cerebellar arteries","Condition","SNOMED","Disorder","S","1269244003","codelist"
"195",37167971,"Bilateral thrombosis of posterior cerebral arteries","Condition","SNOMED","Disorder","S","1269245002","codelist"
"196",37167972,"Bilateral thrombosis of vertebral arteries","Condition","SNOMED","Disorder","S","1269246001","codelist"
"197",37169491,"Occlusion of left anterior choroidal artery","Condition","SNOMED","Disorder","S","16023751000119106","codelist"
"198",37169492,"Occlusion of right anterior choroidal artery","Condition","SNOMED","Disorder","S","16023831000119107","codelist"
"199",37169804,"Hemorrhagic cerebral infarction caused by Aspergillus","Condition","SNOMED","Disorder","S","1163482004","codelist"
"200",4045737,"Pure motor lacunar infarction","Condition","SNOMED","Disorder","S","230699008","codelist"
"201",46270031,"Cerebral infarction due to occlusion of precerebral artery","Condition","SNOMED","Disorder","S","125081000119106","codelist"
"202",3655954,"Occlusion of distal basilar artery","Condition","SNOMED","Disorder","S","870544005","codelist"
"203",3655974,"Occlusion of branch of basilar artery","Condition","SNOMED","Disorder","S","870579007","codelist"
"204",372924,"Cerebral artery occlusion","Condition","SNOMED","Disorder","S","20059004","codelist"
"205",375557,"Cerebral embolism","Condition","SNOMED","Disorder","S","75543006","codelist"
"206",376713,"Cerebral hemorrhage","Condition","SNOMED","Disorder","S","274100004","codelist"
"207",376714,"Vertebrobasilar artery syndrome","Condition","SNOMED","Disorder","S","195199008","codelist"
"208",441874,"Cerebral thrombosis","Condition","SNOMED","Disorder","S","71444005","codelist"
"209",443239,"Precerebral arterial occlusion","Condition","SNOMED","Disorder","S","266253001","codelist"
"210",443454,"Cerebral infarction","Condition","SNOMED","Disorder","S","432504007","codelist"
"211",4031045,"Anterior choroidal artery syndrome","Condition","SNOMED","Disorder","S","14309005","codelist"
"212",4043567,"Infarction of optic tract","Condition","SNOMED","Disorder","S","230518009","codelist"
"213",4043731,"Infarction - precerebral","Condition","SNOMED","Disorder","S","230692004","codelist"
"214",4043732,"Posterior cerebral circulation hemorrhagic infarction","Condition","SNOMED","Disorder","S","230708002","codelist"
"215",4045735,"Anterior cerebral circulation infarction","Condition","SNOMED","Disorder","S","230693009","codelist"
"216",4045736,"Posterior cerebral circulation infarction","Condition","SNOMED","Disorder","S","230696001","codelist"
"217",4045738,"Pure sensory lacunar infarction","Condition","SNOMED","Disorder","S","230700009","codelist"
"218",4045740,"Lacunar ataxic hemiparesis","Condition","SNOMED","Disorder","S","230702001","codelist"
"219",4045741,"Dysarthria-clumsy hand syndrome","Condition","SNOMED","Disorder","S","230703006","codelist"
